year	benchmark	value	avg
1	1	11.1	9.24
1	2	11.1	9.21
1	3	0	0
1	4	11.1	9.5
1	5	11.1	9.03
1	6	11.1	1.87
1	7	0	9.27
1	8	11.1	9.01
1	9	0	9.41
1	10	0	0
1	11	0	0
1	12	11.1	9.14
1	13	0	9.28
1	14	0	9.38
1	15	11.1	9.29
1	16	11.1	9.13
2	1	7.7	9.2
2	2	15.4	9.37
2	3	0	0
2	4	15.4	9.42
2	5	15.4	9.06
2	6	7.7	1.87
2	7	0	9.3
2	8	15.4	9.17
2	9	3.8	9.39
2	10	0	0
2	11	0	0
2	12	0	9.41
2	13	3.8	9.34
2	14	3.8	9.62
2	15	7.7	9.26
2	16	3.8	9.22
3	1	6.7	9.2
3	2	10.7	9.24
3	3	0	0
3	4	5.3	9.46
3	5	8	8.97
3	6	10.7	1.92
3	7	6.7	9.27
3	8	10.7	8.99
3	9	2.7	9.35
3	10	0	0
3	11	0	0
3	12	10.7	9.31
3	13	4	9.31
3	14	2.7	9.46
3	15	10.7	9.04
3	16	10.7	9.14
4	1	7.7	9.33
4	2	7.7	9.28
4	3	0	0
4	4	7.7	9.32
4	5	7.7	9.28
4	6	7.7	1.83
4	7	7.7	9.37
4	8	7.7	9.17
4	9	7.7	9.55
4	10	0	0
4	11	0	0
4	12	7.7	9.46
4	13	7.7	9.36
4	14	7.7	9.43
4	15	7.7	9.39
4	16	7.7	9.25
5	1	9.1	9.25
5	2	9.1	9.22
5	3	0	0
5	4	9.1	9.21
5	5	9.1	9.16
5	6	9.1	1.82
5	7	9.1	9.26
5	8	9.1	9.13
5	9	0	9.46
5	10	0	0
5	11	0	0
5	12	9.1	9.37
5	13	0	9.39
5	14	9.1	9.59
5	15	9.1	9.42
5	16	9.1	9.23
