year	benchmark	value	avg
1	1	0	9.1
1	2	12.5	9.15
1	3	0	0
1	4	12.5	9.48
1	5	12.5	8.97
1	6	12.5	1.84
1	7	0	9.1
1	8	12.5	8.9
1	9	0	9.41
1	10	0	0
1	11	0	0
1	12	12.5	8.88
1	13	0	9.21
1	14	0	9.26
1	15	12.5	9.09
1	16	12.5	8.48
2	1	11.8	9.09
2	2	4.5	9.14
2	3	0	0
2	4	11.8	9.46
2	5	11.8	8.86
2	6	11.8	1.89
2	7	0	8.98
2	8	7.3	8.86
2	9	8.2	9.38
2	10	0	0
2	11	0	0
2	12	6.4	8.93
2	13	6.4	9.22
2	14	7.3	9.26
2	15	4.5	9.11
2	16	8.2	8.59
3	1	3.8	9.21
3	2	3.8	9.26
3	3	0	0
3	4	15.4	9.49
3	5	15.4	8.91
3	6	15.4	1.89
3	7	0	8.94
3	8	7.7	8.88
3	9	0	9.4
3	10	0	0
3	11	0	0
3	12	3.8	9.24
3	13	0	9.22
3	14	3.8	9.4
3	15	15.4	9.14
3	16	15.4	8.83
4	1	11.1	9.37
4	2	11.1	9.32
4	3	0	0
4	4	11.1	9.32
4	5	11.1	9.1
4	6	11.1	1.76
4	7	0	9.32
4	8	11.1	9.03
4	9	3.7	9.52
4	10	0	0
4	11	0	0
4	12	5.6	9.39
4	13	3.7	9.4
4	14	5.6	9.39
4	15	3.7	9.34
4	16	11.1	8.88
5	1	11.1	9.42
5	2	11.1	9.42
5	3	0	0
5	4	11.1	9.45
5	5	11.1	9.39
5	6	3.7	1.82
5	7	0	9.45
5	8	11.1	9.13
5	9	11.1	9.58
5	10	0	0
5	11	0	0
5	12	0	9.42
5	13	3.7	9.6
5	14	11.1	9.54
5	15	11.1	9.5
5	16	3.7	9.26
