year	benchmark	value	avg
1	1	7.4	9.25
1	2	3.7	9.35
1	3	0	0
1	4	3.7	9.51
1	5	7.4	8.89
1	6	17.3	1.86
1	7	0	9.22
1	8	11.1	9.04
1	9	3.7	9.23
1	10	0	0
1	11	0	0
1	12	6.2	9.15
1	13	1.2	9.22
1	14	3.7	9.41
1	15	17.3	9.15
1	16	17.3	8.98
2	1	12.5	9.26
2	2	12.5	9.22
2	3	0	0
2	4	12.5	9.48
2	5	12.5	8.96
2	6	12.5	1.96
2	7	0	9.21
2	8	12.5	8.86
2	9	3.1	9.28
2	10	0	0
2	11	0	0
2	12	12.5	9.13
2	13	3.1	9.2
2	14	3.1	9.22
2	15	3.1	9.33
2	16	0	8.81
3	1	17.3	9.27
3	2	10.5	9.39
3	3	0	0
3	4	15.7	9.5
3	5	5.2	9.05
3	6	4	1.85
3	7	0	9.32
3	8	9.3	8.97
3	9	6	9.36
3	10	0	0
3	11	0	0
3	12	7.3	9.32
3	13	3.2	9.27
3	14	5.6	9.47
3	15	9.7	9.22
3	16	6	9.15
4	1	0	9.31
4	2	10	9.4
4	3	0	0
4	4	10	9.35
4	5	10	9.22
4	6	10	1.72
4	7	0	9.33
4	8	10	9.06
4	9	10	9.43
4	10	0	0
4	11	0	9.87
4	12	10	9.41
4	13	10	9.36
4	14	10	9.52
4	15	0	9.39
4	16	10	9.04
5	1	11.1	9.27
5	2	11.1	9.36
5	3	0	0
5	4	11.1	9.3
5	5	11.1	9.29
5	6	0	0
5	7	0	0
5	8	11.1	9.3
5	9	11.1	9.5
5	10	0	0
5	11	0	0
5	12	0	0
5	13	11.1	9.63
5	14	11.1	9.57
5	15	11.1	9.44
5	16	0	0
