year	benchmark	value	avg
1	1	7.7	9.04
1	2	7.7	9.08
1	3	0	0
1	4	7.7	9.33
1	5	7.7	8.85
1	6	7.7	1.82
1	7	7.7	8.91
1	8	7.7	8.9
1	9	7.7	9.25
1	10	0	0
1	11	0	0
1	12	7.7	9.21
1	13	7.7	9.13
1	14	7.7	9.18
1	15	7.7	9.16
1	16	7.7	8.3
2	1	7.7	9.09
2	2	7.7	9.13
2	3	0	0
2	4	7.7	9.34
2	5	7.7	8.86
2	6	7.7	1.93
2	7	7.7	9
2	8	7.7	8.75
2	9	7.7	9.28
2	10	0	0
2	11	0	0
2	12	7.7	9.29
2	13	7.7	9.15
2	14	7.7	9.28
2	15	7.7	9.05
2	16	7.7	8.23
3	1	4.5	9.12
3	2	9.1	9.11
3	3	0	0
3	4	9.1	9.38
3	5	9.1	8.89
3	6	9.1	1.81
3	7	9.1	8.96
3	8	9.1	8.87
3	9	9.1	9.31
3	10	9.1	9.27
3	11	0	0
3	12	0	9.3
3	13	0	9.13
3	14	9.1	9.32
3	15	4.5	9.06
3	16	9.1	8.42
4	1	9.1	9.05
4	2	9.1	9.05
4	3	0	0
4	4	9.1	9.06
4	5	9.1	9
4	6	9.1	1.87
4	7	0	8.87
4	8	9.1	9.1
4	9	9.1	9.36
4	10	0	9.65
4	11	9.1	9.49
4	12	0	9.15
4	13	0	9.14
4	14	9.1	9.34
4	15	9.1	9.22
4	16	9.1	8.5
5	1	14.3	9.21
5	2	14.3	9.2
5	3	0	0
5	4	14.3	9.01
5	5	14.3	9.01
5	6	0	0
5	7	0	7
5	8	0	9.5
5	9	14.3	9.39
5	10	0	0
5	11	0	0
5	12	0	0
5	13	0	8.5
5	14	14.3	9.36
5	15	14.3	9.24
5	16	0	0
