year	benchmark	value	avg
1	1	0	0
1	2	0	0
1	3	0	0
1	4	0	0
1	5	0	0
1	6	0	0
1	7	0	0
1	8	0	0
1	9	0	0
1	10	0	0
1	11	0	0
1	12	0	0
1	13	0	0
1	14	0	0
1	15	0	0
1	16	0	0
2	1	0	0
2	2	0	0
2	3	0	0
2	4	0	0
2	5	0	0
2	6	0	0
2	7	0	0
2	8	0	0
2	9	0	0
2	10	0	0
2	11	0	0
2	12	0	0
2	13	0	0
2	14	0	0
2	15	0	0
2	16	0	0
3	1	0	0
3	2	0	0
3	3	0	0
3	4	0	0
3	5	0	0
3	6	0	0
3	7	0	0
3	8	0	0
3	9	0	0
3	10	0	0
3	11	0	0
3	12	0	0
3	13	0	0
3	14	0	0
3	15	0	0
3	16	0	0
4	1	11.1	9.43
4	2	11.1	9.32
4	3	0	0
4	4	11.1	9.49
4	5	0	9.4
4	6	0	0
4	7	0	9.49
4	8	11.1	9.13
4	9	11.1	9.63
4	10	0	0
4	11	11.1	9.61
4	12	0	0
4	13	0	9.47
4	14	11.1	9.68
4	15	11.1	9.44
4	16	11.1	9.3
5	1	10	9.5
5	2	5	9.44
5	3	0	0
5	4	10	9.45
5	5	10	9.35
5	6	0	0
5	7	0	9.43
5	8	10	9.21
5	9	10	9.65
5	10	0	0
5	11	10	9.67
5	12	0	0
5	13	5	9.55
5	14	10	9.67
5	15	10	9.5
5	16	10	9.39
