year	benchmark	value	avg
1	1	10	9.11
1	2	10	9.22
1	3	0	0
1	4	10	9.41
1	5	10	8.86
1	6	10	1.82
1	7	0	9.05
1	8	10	8.99
1	9	5	9.33
1	10	0	0
1	11	0	0
1	12	5	9.08
1	13	0	9.19
1	14	10	9.28
1	15	10	9.07
1	16	10	8.76
2	1	11.1	9.12
2	2	9.5	9.23
2	3	0	0
2	4	11.1	9.45
2	5	11.1	8.85
2	6	6.3	1.85
2	7	0	9.05
2	8	11.1	8.9
2	9	1.6	9.36
2	10	0	0
2	11	0	0
2	12	11.1	9.09
2	13	6.3	9.2
2	14	6.3	9.36
2	15	3.2	9.2
2	16	11.1	8.87
3	1	8.3	9.16
3	2	8.3	9.19
3	3	0	0
3	4	8.3	9.43
3	5	8.3	8.97
3	6	8.3	1.82
3	7	0	9.04
3	8	8.3	9.01
3	9	8.3	9.37
3	10	0	0
3	11	0	0
3	12	8.3	9.17
3	13	8.3	9.2
3	14	8.3	9.33
3	15	8.3	9.22
3	16	8.3	8.8
4	1	9.1	9.21
4	2	9.1	9.26
4	3	0	0
4	4	9.1	9.28
4	5	9.1	9.13
4	6	9.1	1.74
4	7	0	9.13
4	8	9.1	9.02
4	9	9.1	9.42
4	10	0	0
4	11	0	0
4	12	9.1	9.33
4	13	0	9.25
4	14	9.1	9.46
4	15	9.1	9.27
4	16	9.1	8.95
5	1	11.1	9.3
5	2	11.1	9.44
5	3	0	0
5	4	11.1	9.29
5	5	11.1	9.22
5	6	11.1	1.68
5	7	0	9.61
5	8	0	9.34
5	9	11.1	9.46
5	10	0	0
5	11	0	0
5	12	0	9.6
5	13	0	9.53
5	14	11.1	9.48
5	15	11.1	9.4
5	16	11.1	8.82
