year	benchmark	value	avg
1	1	5.4	9.09
1	2	10.8	9.31
1	3	0	0
1	4	10.8	9.36
1	5	10.8	8.8
1	6	10.8	1.84
1	7	0	9.08
1	8	5.4	8.77
1	9	5.4	9.12
1	10	0	0
1	11	0	0
1	12	5.4	9.26
1	13	10.8	9.09
1	14	2.7	9.29
1	15	10.8	9.07
1	16	10.8	8.9
2	1	6.6	9.25
2	2	8.8	9.46
2	3	0	0
2	4	13.2	9.32
2	5	13.2	8.81
2	6	8.8	1.73
2	7	0	9.26
2	8	13.2	8.69
2	9	3.3	9.4
2	10	0	0
2	11	0	0
2	12	13.2	9.24
2	13	3.3	9.32
2	14	3.3	9.41
2	15	3.3	9.26
2	16	9.9	9.06
3	1	14.2	9.44
3	2	9.5	9.53
3	3	0	0
3	4	11.5	9.56
3	5	11.5	9.1
3	6	10.1	1.84
3	7	0	9.36
3	8	7.4	8.99
3	9	3.4	9.39
3	10	0	0
3	11	0	0
3	12	8.1	9.57
3	13	7.4	9.38
3	14	2.7	9.55
3	15	9.5	9.28
3	16	4.7	9.15
4	1	11.1	9.43
4	2	0	9.53
4	3	0	0
4	4	11.1	9.27
4	5	11.1	9.21
4	6	11.1	1.72
4	7	0	9.32
4	8	11.1	9.1
4	9	0	9.51
4	10	0	0
4	11	0	0
4	12	11.1	9.59
4	13	0	9.45
4	14	11.1	9.53
4	15	11.1	9.29
4	16	11.1	9.05
5	1	20	9.34
5	2	0	0
5	3	0	0
5	4	20	9.34
5	5	20	9.28
5	6	0	0
5	7	0	0
5	8	0	0
5	9	0	0
5	10	0	0
5	11	0	0
5	12	0	0
5	13	0	0
5	14	20	9.48
5	15	20	9.35
5	16	0	0
