year	row	col	value
2011	1	1	85.1
2011	1	2	2.7
2011	1	3	0.9
2011	2	1	5.2
2011	2	2	2.4
2011	2	3	0.3
2011	3	1	1.8
2011	3	2	0.3
2011	3	3	1.2
2012	1	1	85.2
2012	1	2	2.3
2012	1	3	0.9
2012	2	1	5.8
2012	2	2	3.2
2012	2	3	0.3
2012	3	1	1.4
2012	3	2	0.6
2012	3	3	0.3
2013	1	1	81.0
2013	1	2	2.9
2013	1	3	1.6
2013	2	1	3.2
2013	2	2	2.9
2013	2	3	0.3
2013	3	1	2.2
2013	3	2	1.3
2013	3	3	4.8
2014	1	1	67.3
2014	1	2	13.5
2014	1	3	0.6
2014	2	1	7.2
2014	2	2	6.0
2014	2	3	0.3
2014	3	1	0.3
2014	3	2	1.3
2014	3	3	3.5
2015	1	1	63.7
2015	1	2	19.2
2015	1	3	0.0
2015	2	1	5.5
2015	2	2	8.9
2015	2	3	0.7
2015	3	1	0.3
2015	3	2	0.7
2015	3	3	1.0
