year	row	col	value
2011	1	1	84.1
2011	1	2	3.7
2011	1	3	0.3
2011	2	1	4.3
2011	2	2	4.6
2011	2	3	0.9
2011	3	1	0.4
2011	3	2	0.9
2011	3	3	0.7
2012	1	1	85.0
2012	1	2	2.6
2012	1	3	0.5
2012	2	1	5.2
2012	2	2	4.4
2012	2	3	0.5
2012	3	1	0.6
2012	3	2	0.4
2012	3	3	0.7
2013	1	1	84.4
2013	1	2	2.8
2013	1	3	0.8
2013	2	1	4.7
2013	2	2	3.7
2013	2	3	0.7
2013	3	1	0.7
2013	3	2	0.8
2013	3	3	1.4
2014	1	1	69.9
2014	1	2	6.9
2014	1	3	0.6
2014	2	1	9.1
2014	2	2	10.1
2014	2	3	0.9
2014	3	1	0.4
2014	3	2	1.2
2014	3	3	1.0
2015	1	1	62.5
2015	1	2	8.7
2015	1	3	1.4
2015	2	1	7.1
2015	2	2	14.7
2015	2	3	1.1
2015	3	1	0.8
2015	3	2	0.9
2015	3	3	2.8
