year	row	col	value
2011	1	1	83.7
2011	1	2	2.8
2011	1	3	0.3
2011	2	1	5.0
2011	2	2	5.6
2011	2	3	0.6
2011	3	1	1.3
2011	3	2	0.6
2011	3	3	0.0
2012	1	1	84.0
2012	1	2	4.6
2012	1	3	0.0
2012	2	1	5.1
2012	2	2	5.1
2012	2	3	0.0
2012	3	1	1.1
2012	3	2	0.0
2012	3	3	0.0
2013	1	1	94.1
2013	1	2	2.1
2013	1	3	0.0
2013	2	1	1.7
2013	2	2	0.8
2013	2	3	0.8
2013	3	1	0.4
2013	3	2	0.0
2013	3	3	0.0
2014	1	1	91.7
2014	1	2	1.5
2014	1	3	0.0
2014	2	1	3.9
2014	2	2	2.0
2014	2	3	0.5
2014	3	1	0.0
2014	3	2	0.0
2014	3	3	0.5
2015	1	1	85.1
2015	1	2	5.1
2015	1	3	0.0
2015	2	1	5.1
2015	2	2	3.6
2015	2	3	0.0
2015	3	1	1.0
2015	3	2	0.0
2015	3	3	0.0
