year	row	col	value
2011	1	1	83.2
2011	1	2	4.9
2011	1	3	0.6
2011	2	1	3.4
2011	2	2	5.1
2011	2	3	0.2
2011	3	1	1.7
2011	3	2	0.6
2011	3	3	0.4
2012	1	1	84.7
2012	1	2	2.5
2012	1	3	0.6
2012	2	1	5.3
2012	2	2	5.5
2012	2	3	0.4
2012	3	1	1.0
2012	3	2	0.0
2012	3	3	0.0
2013	1	1	82.0
2013	1	2	2.9
2013	1	3	0.8
2013	2	1	6.6
2013	2	2	6.8
2013	2	3	0.2
2013	3	1	0.2
2013	3	2	0.6
2013	3	3	0.0
2014	1	1	78.2
2014	1	2	5.2
2014	1	3	0.9
2014	2	1	7.3
2014	2	2	7.0
2014	2	3	0.0
2014	3	1	0.9
2014	3	2	0.0
2014	3	3	0.5
2015	1	1	78.3
2015	1	2	2.6
2015	1	3	0.6
2015	2	1	4.5
2015	2	2	9.0
2015	2	3	0.4
2015	3	1	0.9
2015	3	2	1.3
2015	3	3	2.4
