year	row	col	value
2011	1	1	0.0
2011	1	2	0.0
2011	1	3	0.0
2011	2	1	0.0
2011	2	2	0.0
2011	2	3	0.0
2011	3	1	0.0
2011	3	2	0.0
2011	3	3	0.0
2012	1	1	70.8
2012	1	2	5.5
2012	1	3	0.8
2012	2	1	6.3
2012	2	2	12.3
2012	2	3	0.8
2012	3	1	0.0
2012	3	2	1.2
2012	3	3	2.4
2013	1	1	69.4
2013	1	2	4.5
2013	1	3	0.0
2013	2	1	7.2
2013	2	2	11.4
2013	2	3	0.3
2013	3	1	0.3
2013	3	2	0.6
2013	3	3	6.3
2014	1	1	55.0
2014	1	2	12.2
2014	1	3	1.4
2014	2	1	11.9
2014	2	2	12.9
2014	2	3	2.9
2014	3	1	0.4
2014	3	2	1.8
2014	3	3	1.4
2015	1	1	59.5
2015	1	2	9.3
2015	1	3	0.4
2015	2	1	8.5
2015	2	2	17.0
2015	2	3	0.8
2015	3	1	0.8
2015	3	2	1.2
2015	3	3	2.4
