year	row	col	value
2011	1	1	89.3
2011	1	2	2.8
2011	1	3	0.3
2011	2	1	3.3
2011	2	2	2.6
2011	2	3	0.5
2011	3	1	0.6
2011	3	2	0.1
2011	3	3	0.4
2012	1	1	90.8
2012	1	2	2.0
2012	1	3	0.7
2012	2	1	2.6
2012	2	2	0.8
2012	2	3	0.7
2012	3	1	1.0
2012	3	2	0.5
2012	3	3	1.0
2013	1	1	95.5
2013	1	2	0.8
2013	1	3	0.1
2013	2	1	2.6
2013	2	2	0.3
2013	2	3	0.0
2013	3	1	0.5
2013	3	2	0.0
2013	3	3	0.1
2014	1	1	68.8
2014	1	2	10.8
2014	1	3	2.8
2014	2	1	5.8
2014	2	2	6.8
2014	2	3	1.3
2014	3	1	0.5
2014	3	2	0.3
2014	3	3	3.0
2015	1	1	58.3
2015	1	2	12.9
2015	1	3	1.7
2015	2	1	12.5
2015	2	2	10.4
2015	2	3	1.3
2015	3	1	1.3
2015	3	2	1.3
2015	3	3	0.4
