year	row	col	value
2011	1	1	83.1
2011	1	2	7.4
2011	1	3	0.2
2011	2	1	5.4
2011	2	2	1.9
2011	2	3	0.2
2011	3	1	1.0
2011	3	2	0.4
2011	3	3	0.4
2012	1	1	86.0
2012	1	2	3.2
2012	1	3	1.1
2012	2	1	3.3
2012	2	2	4.0
2012	2	3	0.4
2012	3	1	1.2
2012	3	2	0.2
2012	3	3	0.7
2013	1	1	90.4
2013	1	2	2.1
2013	1	3	0.7
2013	2	1	4.3
2013	2	2	1.0
2013	2	3	0.2
2013	3	1	0.5
2013	3	2	0.2
2013	3	3	0.7
2014	1	1	79.6
2014	1	2	6.9
2014	1	3	1.1
2014	2	1	5.8
2014	2	2	5.8
2014	2	3	0.3
2014	3	1	0.3
2014	3	2	0.3
2014	3	3	0.0
2015	1	1	77.0
2015	1	2	6.9
2015	1	3	0.4
2015	2	1	5.8
2015	2	2	6.6
2015	2	3	0.4
2015	3	1	1.8
2015	3	2	0.4
2015	3	3	0.7
