year	row	col	value
2011	1	1	82.1
2011	1	2	4.3
2011	1	3	0.7
2011	2	1	5.5
2011	2	2	2.9
2011	2	3	0.6
2011	3	1	1.3
2011	3	2	0.6
2011	3	3	2.0
2012	1	1	86.2
2012	1	2	2.2
2012	1	3	0.8
2012	2	1	4.0
2012	2	2	3.8
2012	2	3	0.6
2012	3	1	0.7
2012	3	2	0.6
2012	3	3	1.1
2013	1	1	80.7
2013	1	2	4.0
2013	1	3	1.2
2013	2	1	4.1
2013	2	2	4.2
2013	2	3	1.2
2013	3	1	0.8
2013	3	2	0.3
2013	3	3	3.4
2014	1	1	70.8
2014	1	2	5.9
2014	1	3	0.4
2014	2	1	8.7
2014	2	2	9.5
2014	2	3	1.0
2014	3	1	1.4
2014	3	2	0.4
2014	3	3	2.0
2015	1	1	73.1
2015	1	2	12.7
2015	1	3	0.3
2015	2	1	5.6
2015	2	2	4.3
2015	2	3	0.9
2015	3	1	1.2
2015	3	2	0.6
2015	3	3	1.2
