year	row	col	value
2011	1	1	75.6
2011	1	2	4.7
2011	1	3	0.6
2011	2	1	6.0
2011	2	2	9.1
2011	2	3	0.5
2011	3	1	0.7
2011	3	2	1.0
2011	3	3	1.8
2012	1	1	76.9
2012	1	2	6.2
2012	1	3	0.9
2012	2	1	4.7
2012	2	2	7.5
2012	2	3	0.4
2012	3	1	1.3
2012	3	2	0.8
2012	3	3	1.4
2013	1	1	74.1
2013	1	2	9.5
2013	1	3	0.8
2013	2	1	6.5
2013	2	2	6.0
2013	2	3	1.2
2013	3	1	0.7
2013	3	2	0.2
2013	3	3	1.0
2014	1	1	59.8
2014	1	2	13.1
2014	1	3	1.2
2014	2	1	9.8
2014	2	2	10.3
2014	2	3	1.6
2014	3	1	0.6
2014	3	2	1.2
2014	3	3	2.5
2015	1	1	48.8
2015	1	2	13.3
2015	1	3	1.6
2015	2	1	11.9
2015	2	2	15.2
2015	2	3	3.0
2015	3	1	0.9
2015	3	2	2.7
2015	3	3	2.5
