year	row	col	value
2011	1	1	85.3
2011	1	2	3.2
2011	1	3	0.5
2011	2	1	6.0
2011	2	2	3.2
2011	2	3	0.2
2011	3	1	0.5
2011	3	2	0.5
2011	3	3	0.5
2012	1	1	90.8
2012	1	2	1.4
2012	1	3	0.1
2012	2	1	3.3
2012	2	2	2.9
2012	2	3	0.1
2012	3	1	0.6
2012	3	2	0.4
2012	3	3	0.3
2013	1	1	88.3
2013	1	2	1.5
2013	1	3	0.9
2013	2	1	3.7
2013	2	2	4.0
2013	2	3	0.4
2013	3	1	0.7
2013	3	2	0.4
2013	3	3	0.0
2014	1	1	79.3
2014	1	2	4.8
2014	1	3	0.6
2014	2	1	6.8
2014	2	2	6.0
2014	2	3	0.2
2014	3	1	0.8
2014	3	2	0.8
2014	3	3	0.6
2015	1	1	73.9
2015	1	2	3.9
2015	1	3	0.8
2015	2	1	7.5
2015	2	2	10.0
2015	2	3	0.8
2015	3	1	0.8
2015	3	2	1.4
2015	3	3	0.8
