year	row	col	value
2011	1	1	75.6
2011	1	2	5.3
2011	1	3	1.2
2011	2	1	5.8
2011	2	2	5.6
2011	2	3	0.9
2011	3	1	2.6
2011	3	2	0.9
2011	3	3	2.1
2012	1	1	73.6
2012	1	2	6.3
2012	1	3	1.6
2012	2	1	6.7
2012	2	2	4.9
2012	2	3	1.2
2012	3	1	2.6
2012	3	2	0.6
2012	3	3	2.4
2013	1	1	81.7
2013	1	2	2.7
2013	1	3	0.6
2013	2	1	4.9
2013	2	2	5.9
2013	2	3	1.1
2013	3	1	0.9
2013	3	2	0.5
2013	3	3	1.8
2014	1	1	67.2
2014	1	2	3.8
2014	1	3	2.5
2014	2	1	7.1
2014	2	2	11.1
2014	2	3	2.9
2014	3	1	1.3
2014	3	2	1.9
2014	3	3	2.1
2015	1	1	55.3
2015	1	2	11.2
2015	1	3	1.5
2015	2	1	6.9
2015	2	2	13.7
2015	2	3	2.5
2015	3	1	1.8
2015	3	2	1.3
2015	3	3	5.8
			
