year	row	col	value
2011	1	1	76.5
2011	1	2	11.4
2011	1	3	0.5
2011	2	1	5.3
2011	2	2	4.6
2011	2	3	0.7
2011	3	1	0.5
2011	3	2	0.5
2011	3	3	0.0
2012	1	1	85.0
2012	1	2	2.6
2012	1	3	0.0
2012	2	1	4.8
2012	2	2	5.8
2012	2	3	0.8
2012	3	1	0.5
2012	3	2	0.5
2012	3	3	0.0
2013	1	1	81.7
2013	1	2	2.3
2013	1	3	1.0
2013	2	1	4.4
2013	2	2	5.8
2013	2	3	1.7
2013	3	1	0.3
2013	3	2	0.6
2013	3	3	2.2
2014	1	1	66.0
2014	1	2	6.5
2014	1	3	1.0
2014	2	1	9.8
2014	2	2	9.8
2014	2	3	1.5
2014	3	1	1.5
2014	3	2	2.0
2014	3	3	1.8
2015	1	1	71.1
2015	1	2	6.3
2015	1	3	0.7
2015	2	1	8.1
2015	2	2	9.9
2015	2	3	0.7
2015	3	1	0.5
2015	3	2	1.4
2015	3	3	1.4
