year	row	col	value
2011	1	1	77.6
2011	1	2	7.6
2011	1	3	0.5
2011	2	1	6.3
2011	2	2	4.1
2011	2	3	0.2
2011	3	1	1.3
2011	3	2	0.7
2011	3	3	1.8
2012	1	1	85.9
2012	1	2	3.8
2012	1	3	0.1
2012	2	1	4.3
2012	2	2	2.7
2012	2	3	1.1
2012	3	1	0.4
2012	3	2	0.1
2012	3	3	1.5
2013	1	1	83.6
2013	1	2	2.9
2013	1	3	0.4
2013	2	1	4.7
2013	2	2	6.1
2013	2	3	1.2
2013	3	1	0.1
2013	3	2	0.3
2013	3	3	0.6
2014	1	1	70.5
2014	1	2	4.7
2014	1	3	0.0
2014	2	1	5.5
2014	2	2	14.9
2014	2	3	1.5
2014	3	1	0.7
2014	3	2	0.5
2014	3	3	1.7
2015	1	1	68.9
2015	1	2	4.9
2015	1	3	0.6
2015	2	1	7.9
2015	2	2	12.5
2015	2	3	1.8
2015	3	1	0.9
2015	3	2	0.6
2015	3	3	1.8
