year	row	col	value
2011	1	1	82.0
2011	1	2	2.9
2011	1	3	3.1
2011	2	1	6.1
2011	2	2	1.0
2011	2	3	1.0
2011	3	1	1.0
2011	3	2	0.8
2011	3	3	2.3
2012	1	1	87.8
2012	1	2	2.5
2012	1	3	0.5
2012	2	1	4.6
2012	2	2	2.0
2012	2	3	0.7
2012	3	1	0.8
2012	3	2	0.3
2012	3	3	0.8
2013	1	1	91.6
2013	1	2	1.6
2013	1	3	0.4
2013	2	1	3.1
2013	2	2	1.2
2013	2	3	0.6
2013	3	1	1.0
2013	3	2	0.2
2013	3	3	0.4
2014	1	1	65.9
2014	1	2	15.2
2014	1	3	0.6
2014	2	1	7.4
2014	2	2	8.4
2014	2	3	0.0
2014	3	1	0.6
2014	3	2	0.6
2014	3	3	1.2
2015	1	1	41.8
2015	1	2	16.8
2015	1	3	1.4
2015	2	1	13.5
2015	2	2	21.2
2015	2	3	1.4
2015	3	1	1.4
2015	3	2	0.5
2015	3	3	1.9
