year	row	col	value
2011	1	1	87.1
2011	1	2	2.8
2011	1	3	1.2
2011	2	1	3.0
2011	2	2	2.8
2011	2	3	1.2
2011	3	1	0.9
2011	3	2	0.5
2011	3	3	0.7
2012	1	1	86.5
2012	1	2	1.6
2012	1	3	0.7
2012	2	1	4.2
2012	2	2	4.7
2012	2	3	0.2
2012	3	1	0.2
2012	3	2	0.9
2012	3	3	0.9
2013	1	1	84.3
2013	1	2	5.1
2013	1	3	0.3
2013	2	1	5.4
2013	2	2	2.7
2013	2	3	0.9
2013	3	1	0.3
2013	3	2	0.6
2013	3	3	0.3
2014	1	1	43.8
2014	1	2	16.3
2014	1	3	0.5
2014	2	1	8.2
2014	2	2	23.6
2014	2	3	1.4
2014	3	1	0.0
2014	3	2	1.9
2014	3	3	4.3
2015	1	1	41.2
2015	1	2	10.9
2015	1	3	1.2
2015	2	1	6.7
2015	2	2	32.7
2015	2	3	2.4
2015	3	1	1.2
2015	3	2	3.0
2015	3	3	0.6
