year	row	col	value
2011	1	1	0.0
2011	1	2	0.0
2011	1	3	0.0
2011	2	1	0.0
2011	2	2	0.0
2011	2	3	0.0
2011	3	1	0.0
2011	3	2	0.0
2011	3	3	0.0
2012	1	1	0.0
2012	1	2	0.0
2012	1	3	0.0
2012	2	1	0.0
2012	2	2	0.0
2012	2	3	0.0
2012	3	1	0.0
2012	3	2	0.0
2012	3	3	0.0
2013	1	1	0.0
2013	1	2	0.0
2013	1	3	0.0
2013	2	1	0.0
2013	2	2	0.0
2013	2	3	0.0
2013	3	1	0.0
2013	3	2	0.0
2013	3	3	0.0
2014	1	1	0.0
2014	1	2	0.0
2014	1	3	0.0
2014	2	1	0.0
2014	2	2	0.0
2014	2	3	0.0
2014	3	1	0.0
2014	3	2	0.0
2014	3	3	0.0
2015	1	1	61.4
2015	1	2	11.1
2015	1	3	1.1
2015	2	1	7.9
2015	2	2	14.8
2015	2	3	1.6
2015	3	1	0.0
2015	3	2	2.1
2015	3	3	0.0
