year	row	col	value
2011	1	1	85.4
2011	1	2	3.5
2011	1	3	0.5
2011	2	1	4.8
2011	2	2	3.5
2011	2	3	0.7
2011	3	1	0.7
2011	3	2	0.7
2011	3	3	0.3
2012	1	1	87.7
2012	1	2	2.5
2012	1	3	0.4
2012	2	1	4.9
2012	2	2	1.5
2012	2	3	0.7
2012	3	1	0.9
2012	3	2	0.4
2012	3	3	0.9
2013	1	1	81.2
2013	1	2	3.5
2013	1	3	1.3
2013	2	1	5.3
2013	2	2	3.7
2013	2	3	1.8
2013	3	1	0.5
2013	3	2	1.0
2013	3	3	1.7
2014	1	1	71.2
2014	1	2	7.6
2014	1	3	0.6
2014	2	1	6.1
2014	2	2	10.6
2014	2	3	0.2
2014	3	1	1.1
2014	3	2	0.8
2014	3	3	1.7
2015	1	1	69.1
2015	1	2	15.6
2015	1	3	0.0
2015	2	1	6.2
2015	2	2	7.2
2015	2	3	0.4
2015	3	1	0.6
2015	3	2	0.2
2015	3	3	0.6
