year	row	col	value
2011	1	1	67.9
2011	1	2	3.1
2011	1	3	0.0
2011	2	1	5.3
2011	2	2	11.5
2011	2	3	3.1
2011	3	1	3.8
2011	3	2	2.3
2011	3	3	3.1
2012	1	1	69.7
2012	1	2	3.0
2012	1	3	0.0
2012	2	1	15.2
2012	2	2	3.0
2012	2	3	0.0
2012	3	1	9.1
2012	3	2	0.0
2012	3	3	0.0
2013	1	1	71.4
2013	1	2	14.3
2013	1	3	0.0
2013	2	1	14.3
2013	2	2	0.0
2013	2	3	0.0
2013	3	1	0.0
2013	3	2	0.0
2013	3	3	0.0
2014	1	1	91.7
2014	1	2	0.0
2014	1	3	0.0
2014	2	1	0.0
2014	2	2	0.0
2014	2	3	0.0
2014	3	1	0.0
2014	3	2	0.0
2014	3	3	8.3
2015	1	1	80.0
2015	1	2	0.0
2015	1	3	0.0
2015	2	1	20.0
2015	2	2	0.0
2015	2	3	0.0
2015	3	1	0.0
2015	3	2	0.0
2015	3	3	0.0
