year	row	col	value
2011	1	1	85.7
2011	1	2	3.8
2011	1	3	0.2
2011	2	1	5.1
2011	2	2	2.6
2011	2	3	1.1
2011	3	1	0.4
2011	3	2	0.9
2011	3	3	0.2
2012	1	1	81.0
2012	1	2	6.1
2012	1	3	1.4
2012	2	1	5.7
2012	2	2	3.4
2012	2	3	0.2
2012	3	1	1.1
2012	3	2	0.2
2012	3	3	0.9
2013	1	1	82.5
2013	1	2	12.5
2013	1	3	0.0
2013	2	1	2.1
2013	2	2	1.7
2013	2	3	0.0
2013	3	1	0.8
2013	3	2	0.4
2013	3	3	0.0
2014	1	1	79.6
2014	1	2	11.2
2014	1	3	1.5
2014	2	1	3.6
2014	2	2	1.5
2014	2	3	0.6
2014	3	1	0.6
2014	3	2	0.6
2014	3	3	0.6
2015	1	1	64.4
2015	1	2	7.5
2015	1	3	0.0
2015	2	1	6.9
2015	2	2	18.4
2015	2	3	0.0
2015	3	1	0.0
2015	3	2	1.1
2015	3	3	1.7
