year	row	col	value
2011	1	1	80.8
2011	1	2	3.4
2011	1	3	1.5
2011	2	1	6.7
2011	2	2	4.7
2011	2	3	0.4
2011	3	1	0.9
2011	3	2	0.4
2011	3	3	1.3
2012	1	1	82.9
2012	1	2	5.3
2012	1	3	1.4
2012	2	1	4.2
2012	2	2	3.2
2012	2	3	0.6
2012	3	1	1.3
2012	3	2	0.6
2012	3	3	0.6
2013	1	1	88.6
2013	1	2	2.3
2013	1	3	0.3
2013	2	1	3.3
2013	2	2	2.6
2013	2	3	0.6
2013	3	1	0.5
2013	3	2	0.6
2013	3	3	1.2
2014	1	1	63.8
2014	1	2	10.9
2014	1	3	0.7
2014	2	1	6.8
2014	2	2	12.2
2014	2	3	1.6
2014	3	1	0.9
2014	3	2	1.0
2014	3	3	2.1
2015	1	1	55.0
2015	1	2	10.0
2015	1	3	2.0
2015	2	1	10.4
2015	2	2	15.2
2015	2	3	2.3
2015	3	1	1.1
2015	3	2	1.6
2015	3	3	2.5
