year	row	col	value
2011	1	1	72.0
2011	1	2	6.1
2011	1	3	0.9
2011	2	1	7.9
2011	2	2	9.6
2011	2	3	1.2
2011	3	1	1.2
2011	3	2	0.7
2011	3	3	0.3
2012	1	1	76.8
2012	1	2	4.6
2012	1	3	1.4
2012	2	1	6.8
2012	2	2	7.2
2012	2	3	1.4
2012	3	1	0.6
2012	3	2	1.1
2012	3	3	0.2
2013	1	1	78.7
2013	1	2	6.9
2013	1	3	0.5
2013	2	1	7.6
2013	2	2	4.5
2013	2	3	0.1
2013	3	1	0.2
2013	3	2	0.6
2013	3	3	0.8
2014	1	1	53.8
2014	1	2	17.6
2014	1	3	0.5
2014	2	1	11.8
2014	2	2	13.2
2014	2	3	0.7
2014	3	1	0.4
2014	3	2	0.8
2014	3	3	1.1
2015	1	1	58.0
2015	1	2	20.7
2015	1	3	0.7
2015	2	1	9.5
2015	2	2	6.6
2015	2	3	1.5
2015	3	1	0.7
2015	3	2	1.5
2015	3	3	0.7
