year	row	col	value
2011	1	1	66.3
2011	1	2	7.4
2011	1	3	0.7
2011	2	1	8.8
2011	2	2	11.4
2011	2	3	0.8
2011	3	1	0.7
2011	3	2	1.7
2011	3	3	2.2
2012	1	1	68.4
2012	1	2	6.1
2012	1	3	1.1
2012	2	1	8.2
2012	2	2	11.1
2012	2	3	1.8
2012	3	1	0.9
2012	3	2	1.3
2012	3	3	1.2
2013	1	1	66.3
2013	1	2	6.1
2013	1	3	0.7
2013	2	1	8.1
2013	2	2	9.8
2013	2	3	2.4
2013	3	1	1.0
2013	3	2	2.0
2013	3	3	3.5
2014	1	1	56.3
2014	1	2	5.6
2014	1	3	0.8
2014	2	1	8.7
2014	2	2	19.6
2014	2	3	1.7
2014	3	1	1.5
2014	3	2	1.6
2014	3	3	4.3
2015	1	1	56.6
2015	1	2	12.5
2015	1	3	1.0
2015	2	1	10.1
2015	2	2	14.0
2015	2	3	1.6
2015	3	1	0.4
2015	3	2	1.3
2015	3	3	2.4
