year	benchmark	value	avg
1	1	3.4	
1	2	5.1	
1	3	7.4	
1	4	5.1	
1	5	9.1	
1	6	0	
1	7	11.9	
1	8	5.7	
1	9	0	
1	10	11.9	
1	11	6.2	
1	12	0	
1	13	0	
1	14	10.2	
1	15	4	
1	16	11.9	
1	17	7.3		
2	1	6.1	
2	2	12.7	
2	3	12.7	
2	4	6.7	
2	5	7.3	
2	6	0	
2	7	7.9	
2	8	8.5	
2	9	0.6	
2	10	7.9	
2	11	12.7	
2	12	0	
2	13	0	
2	14	0	
2	15	4	
2	16	12	
2	17	12		
3	1	4	
3	2	4	
3	3	12	
3	4	4	
3	5	12	
3	6	0	
3	7	12	
3	8	12	
3	9	0	
3	10	15	
3	11	0	
3	12	0	
3	13	0	
3	14	0	
3	15	15	
3	16	0	
3	17	10		
4	1	5	
4	2	15	
4	3	15	
4	4	5	
4	5	13.3	
4	6	0	
4	7	10	
4	8	13.3	
4	9	0	
4	10	6.7	
4	11	0	
4	12	0	
4	13	0	
4	14	0	
4	15	3.3	
4	16	13.3	
4	17	13.3		
5	1	6.7	
5	2	13.3	
5	3	6.7	
5	4	0	
5	5	13.3	
5	6	0	
5	7	10	
5	8	13.3	
5	9	0	
5	10	6.7	
5	11	0	
5	12	0	
5	13	0	
5	14	0	
5	15	3.3	
5	16	13.3	
5	17	13.3	
