year	benchmark	value	avg
1	1	10.5	
1	2	10.5	
1	3	10.5	
1	4	0	
1	5	5.3	
1	6	0	
1	7	5.3	
1	8	10.5	
1	9	0	
1	10	10.5	
1	11	5.3	
1	12	0	
1	13	0	
1	14	10.5	
1	15	10.5	
1	16	10.5	
1	17	0		
2	1	8.9	
2	2	8.9	
2	3	12.2	
2	4	3.3	
2	5	5.6	
2	6	0	
2	7	10	
2	8	12.2	
2	9	3.3	
2	10	4.4	
2	11	7.8	
2	12	0	
2	13	0	
2	14	11.1	
2	15	1.2	
2	16	6.2	
2	17	0		
3	1	11.1	
3	2	11.1	
3	3	11.1	
3	4	3.7	
3	5	11.1	
3	6	0	
3	7	11.1	
3	8	3.7	
3	9	11.1	
3	10	0	
3	11	11.1	
3	12	0	
3	13	0	
3	14	11.1	
3	15	0	
3	16	0	
3	17	0		
4	1	11.1	
4	2	11.1	
4	3	11.1	
4	4	11.1	
4	5	14.3	
4	6	0	
4	7	14.3	
4	8	0	
4	9	0	
4	10	0	
4	11	14.3	
4	12	0	
4	13	0	
4	14	14.3	
4	15	0	
4	16	0	
4	17	0		
5	1	14.3	
5	2	14.3	
5	3	14.3	
5	4	0	
5	5	14.3	
5	6	0	
5	7	14.3	
5	8	0	
5	9	0	
5	10	0	
5	11	14.3	
5	12	0	
5	13	0	
5	14	14.3	
5	15	0	
5	16	0	
5	17	0		
