id,size,actions,impact,feasibility,attractiveness,positive,negative
3,3,Technician Knowledge and Expertise,1.393182019,5,139.3182019,"13799300 == He stated that the technician was very professional and thorough. <BR/>15565829 == Jim stated they are punctual , knowledgeable and they get the job done the  first time. <BR/>15611580 == Greg said XXX Company is close, quick, and their technicians are knowledgeable and do a good work. <BR/>13267762 == Brice stated the technician, Herman, was very knowledgeable, and pleasant to work with. <BR/>13705765 == Paul stated they were very professional, adding the technician was very knowledgeable. <BR/>13384579 == Kavin said that their service technicians are professional. <BR/>12710635 == Elton stated the technician was very professional. <BR/>13705710 == Memo stated that XXX Company Power Systems has really good technicians who are knowledgeable and experienced. <BR/>",
5,4,Technician Knowledge and Expertise,2.139450676,5,213.9450676,"13799300 == He stated that the technician was very professional and thorough. <BR/>15565829 == Jim stated they are punctual , knowledgeable and they get the job done the  first time. <BR/>15611580 == Greg said XXX Company is close, quick, and their technicians are knowledgeable and do a good work. <BR/>13267762 == Brice stated the technician, Herman, was very knowledgeable, and pleasant to work with. <BR/>13705765 == Paul stated they were very professional, adding the technician was very knowledgeable. <BR/>13384579 == Kavin said that their service technicians are professional. <BR/>12710635 == Elton stated the technician was very professional. <BR/>13705710 == Memo stated that XXX Company Power Systems has really good technicians who are knowledgeable and experienced. <BR/>",
6,5,Technician Knowledge and Expertise,2.905314404,5,290.5314404,"13799300 == He stated that the technician was very professional and thorough. <BR/>15565829 == Jim stated they are punctual , knowledgeable and they get the job done the  first time. <BR/>15611580 == Greg said XXX Company is close, quick, and their technicians are knowledgeable and do a good work. <BR/>13267762 == Brice stated the technician, Herman, was very knowledgeable, and pleasant to work with. <BR/>13705765 == Paul stated they were very professional, adding the technician was very knowledgeable. <BR/>13384579 == Kavin said that their service technicians are professional. <BR/>12710635 == Elton stated the technician was very professional. <BR/>13705710 == Memo stated that XXX Company Power Systems has really good technicians who are knowledgeable and experienced. <BR/>",
7,5,Technician Knowledge and Expertise,2.839077541,5,283.9077541,"13799300 == He stated that the technician was very professional and thorough. <BR/>15565829 == Jim stated they are punctual , knowledgeable and they get the job done the  first time. <BR/>15611580 == Greg said XXX Company is close, quick, and their technicians are knowledgeable and do a good work. <BR/>13267762 == Brice stated the technician, Herman, was very knowledgeable, and pleasant to work with. <BR/>13705765 == Paul stated they were very professional, adding the technician was very knowledgeable. <BR/>13384579 == Kavin said that their service technicians are professional. <BR/>12710635 == Elton stated the technician was very professional. <BR/>13705710 == Memo stated that XXX Company Power Systems has really good technicians who are knowledgeable and experienced. <BR/>",
8,6,Technician Knowledge and Expertise,2.930097378,5,293.0097378,"13799300 == He stated that the technician was very professional and thorough. <BR/>15565829 == Jim stated they are punctual , knowledgeable and they get the job done the  first time. <BR/>15611580 == Greg said XXX Company is close, quick, and their technicians are knowledgeable and do a good work. <BR/>13267762 == Brice stated the technician, Herman, was very knowledgeable, and pleasant to work with. <BR/>13705765 == Paul stated they were very professional, adding the technician was very knowledgeable. <BR/>13384579 == Kavin said that their service technicians are professional. <BR/>12710635 == Elton stated the technician was very professional. <BR/>13705710 == Memo stated that XXX Company Power Systems has really good technicians who are knowledgeable and experienced. <BR/>",
1,3,Service Done Correctly,1.766316347,5,176.6316347,"14186081 == He stated they do everything well - they have a good welling shop. <BR/>15229859 == After probing he stated that there were no problems and they got the job done correctly. <BR/>13267786 == Bob said they do well; they are fast, quick and always do good work. <BR/>13072018 == Francis said XXX Company Pacific fixed the problem. <BR/>13705736 == Chris said they do everything well. <BR/>13705749 == Mark said the service was completed in a timely manner. <BR/>12567327 == He stated that nothing went wrong and his equipment was fixed when they said it would be fixed. <BR/>13929070 == Mark said XXX Company Power Systems was professional and was able to get the job done correctly. <BR/>12710632 == Steve said he liked that XXX Company Power Systems was able to complete the repair correctly the first time. <BR/>13853538 == Doug stated that XXX Company Company got his equipment in when it wasn't schedule, fixed it right and quickly. <BR/>",
4,4,Service Done Correctly,2.465943213,5,246.5943213,"14186081 == He stated they do everything well - they have a good welling shop. <BR/>15229859 == After probing he stated that there were no problems and they got the job done correctly. <BR/>13267786 == Bob said they do well; they are fast, quick and always do good work. <BR/>13072018 == Francis said XXX Company Pacific fixed the problem. <BR/>13705736 == Chris said they do everything well. <BR/>13705749 == Mark said the service was completed in a timely manner. <BR/>12567327 == He stated that nothing went wrong and his equipment was fixed when they said it would be fixed. <BR/>13929070 == Mark said XXX Company Power Systems was professional and was able to get the job done correctly. <BR/>12710632 == Steve said he liked that XXX Company Power Systems was able to complete the repair correctly the first time. <BR/>13853538 == Doug stated that XXX Company Company got his equipment in when it wasn't schedule, fixed it right and quickly. <BR/>",
5,4,Service Done Correctly,2.139450676,5,213.9450676,"14186081 == He stated they do everything well - they have a good welling shop. <BR/>15229859 == After probing he stated that there were no problems and they got the job done correctly. <BR/>13267786 == Bob said they do well; they are fast, quick and always do good work. <BR/>13072018 == Francis said XXX Company Pacific fixed the problem. <BR/>13705736 == Chris said they do everything well. <BR/>13705749 == Mark said the service was completed in a timely manner. <BR/>12567327 == He stated that nothing went wrong and his equipment was fixed when they said it would be fixed. <BR/>13929070 == Mark said XXX Company Power Systems was professional and was able to get the job done correctly. <BR/>12710632 == Steve said he liked that XXX Company Power Systems was able to complete the repair correctly the first time. <BR/>13853538 == Doug stated that XXX Company Company got his equipment in when it wasn't schedule, fixed it right and quickly. <BR/>",
6,5,Service Done Correctly,2.905314404,5,290.5314404,"14186081 == He stated they do everything well - they have a good welling shop. <BR/>15229859 == After probing he stated that there were no problems and they got the job done correctly. <BR/>13267786 == Bob said they do well; they are fast, quick and always do good work. <BR/>13072018 == Francis said XXX Company Pacific fixed the problem. <BR/>13705736 == Chris said they do everything well. <BR/>13705749 == Mark said the service was completed in a timely manner. <BR/>12567327 == He stated that nothing went wrong and his equipment was fixed when they said it would be fixed. <BR/>13929070 == Mark said XXX Company Power Systems was professional and was able to get the job done correctly. <BR/>12710632 == Steve said he liked that XXX Company Power Systems was able to complete the repair correctly the first time. <BR/>13853538 == Doug stated that XXX Company Company got his equipment in when it wasn't schedule, fixed it right and quickly. <BR/>",
7,5,Service Done Correctly,2.839077541,5,283.9077541,"14186081 == He stated they do everything well - they have a good welling shop. <BR/>15229859 == After probing he stated that there were no problems and they got the job done correctly. <BR/>13267786 == Bob said they do well; they are fast, quick and always do good work. <BR/>13072018 == Francis said XXX Company Pacific fixed the problem. <BR/>13705736 == Chris said they do everything well. <BR/>13705749 == Mark said the service was completed in a timely manner. <BR/>12567327 == He stated that nothing went wrong and his equipment was fixed when they said it would be fixed. <BR/>13929070 == Mark said XXX Company Power Systems was professional and was able to get the job done correctly. <BR/>12710632 == Steve said he liked that XXX Company Power Systems was able to complete the repair correctly the first time. <BR/>13853538 == Doug stated that XXX Company Company got his equipment in when it wasn't schedule, fixed it right and quickly. <BR/>",
