id,size,actions,impact,feasibility,attractiveness,positive,negative
02,2,Technician Knowledge and Expertise,2.131438721,5,21.31438721,"14134480 == Don said they were there on time, they did it in a timely fashion and the technician was professional. <BR/>14986830 == He stated that the technicians were knowledgeable and polite. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>",14387885 == Matthew said that the guy didn't want to do what he wanted him to do and his diagnosis was wrong. <BR/>12961467 == Moses stated XXX Company is very professional and they provide an accurate diagnosis of the problem with the equipment. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>
06,3,Technician Knowledge and Expertise,9.720661792,5,97.20661792,"14134480 == Don said they were there on time, they did it in a timely fashion and the technician was professional. <BR/>14986830 == He stated that the technicians were knowledgeable and polite. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>",14387885 == Matthew said that the guy didn't want to do what he wanted him to do and his diagnosis was wrong. <BR/>12961467 == Moses stated XXX Company is very professional and they provide an accurate diagnosis of the problem with the equipment. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>
09,3,Technician Knowledge and Expertise,3.197158082,5,31.97158082,"14134480 == Don said they were there on time, they did it in a timely fashion and the technician was professional. <BR/>14986830 == He stated that the technicians were knowledgeable and polite. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>",14387885 == Matthew said that the guy didn't want to do what he wanted him to do and his diagnosis was wrong. <BR/>12961467 == Moses stated XXX Company is very professional and they provide an accurate diagnosis of the problem with the equipment. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>
10,4,Technician Knowledge and Expertise,15.04021385,5,150.4021385,"14134480 == Don said they were there on time, they did it in a timely fashion and the technician was professional. <BR/>14986830 == He stated that the technicians were knowledgeable and polite. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>",14387885 == Matthew said that the guy didn't want to do what he wanted him to do and his diagnosis was wrong. <BR/>12961467 == Moses stated XXX Company is very professional and they provide an accurate diagnosis of the problem with the equipment. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>
11,4,Technician Knowledge and Expertise,9.76315459,5,97.6315459,"14134480 == Don said they were there on time, they did it in a timely fashion and the technician was professional. <BR/>14986830 == He stated that the technicians were knowledgeable and polite. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>",14387885 == Matthew said that the guy didn't want to do what he wanted him to do and his diagnosis was wrong. <BR/>12961467 == Moses stated XXX Company is very professional and they provide an accurate diagnosis of the problem with the equipment. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>
13,4,Technician Knowledge and Expertise,3.197158082,5,31.97158082,"14134480 == Don said they were there on time, they did it in a timely fashion and the technician was professional. <BR/>14986830 == He stated that the technicians were knowledgeable and polite. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>",14387885 == Matthew said that the guy didn't want to do what he wanted him to do and his diagnosis was wrong. <BR/>12961467 == Moses stated XXX Company is very professional and they provide an accurate diagnosis of the problem with the equipment. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>
14,5,Technician Knowledge and Expertise,15.84617131,5,158.4617131,"14134480 == Don said they were there on time, they did it in a timely fashion and the technician was professional. <BR/>14986830 == He stated that the technicians were knowledgeable and polite. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>",14387885 == Matthew said that the guy didn't want to do what he wanted him to do and his diagnosis was wrong. <BR/>12961467 == Moses stated XXX Company is very professional and they provide an accurate diagnosis of the problem with the equipment. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>
15,5,Technician Knowledge and Expertise,14.92202317,5,149.2202317,"14134480 == Don said they were there on time, they did it in a timely fashion and the technician was professional. <BR/>14986830 == He stated that the technicians were knowledgeable and polite. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>",14387885 == Matthew said that the guy didn't want to do what he wanted him to do and his diagnosis was wrong. <BR/>12961467 == Moses stated XXX Company is very professional and they provide an accurate diagnosis of the problem with the equipment. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>
16,5,Technician Knowledge and Expertise,13.39636286,5,133.9636286,"14134480 == Don said they were there on time, they did it in a timely fashion and the technician was professional. <BR/>14986830 == He stated that the technicians were knowledgeable and polite. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>",14387885 == Matthew said that the guy didn't want to do what he wanted him to do and his diagnosis was wrong. <BR/>12961467 == Moses stated XXX Company is very professional and they provide an accurate diagnosis of the problem with the equipment. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>
17,6,Technician Knowledge and Expertise,17.35726183,5,173.5726183,"14134480 == Don said they were there on time, they did it in a timely fashion and the technician was professional. <BR/>14986830 == He stated that the technicians were knowledgeable and polite. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>",14387885 == Matthew said that the guy didn't want to do what he wanted him to do and his diagnosis was wrong. <BR/>12961467 == Moses stated XXX Company is very professional and they provide an accurate diagnosis of the problem with the equipment. <BR/>12595356 == Dan stated that the misdiagnosis of the issue and ability to complete the repair correctly are the main reasons. <BR/>
