id,size,actions,impact,feasibility,attractiveness,positive,negative
01,5,Technician Knowledge and Expertise,3.098591549,5,309.8591549,"12552388 == Stephanie said that the service tech was very knowledgeable and very easy to get along with. <BR/>12922118 == He stated they were on time and the technician who came out was knowledgeable. <BR/>13697644 == He said the technician was very knowledgeable. <BR/>12281902 == Brett said the technicians were professional, they got out there quickly and everything went well. <BR/>14654925 == He said - XXX Company was very timely as well as the technician; the technician was very knowledgeable as well. <BR/>13450473 == He said the technician was very knowledgeable and informative about maintaining the equipment. <BR/>",15102701 == Kenny said he is not sure how knowledgeable the technician they sent out was. <BR/>
02,5,Technician Knowledge and Expertise,1.971830986,5,197.1830986,"12552388 == Stephanie said that the service tech was very knowledgeable and very easy to get along with. <BR/>12922118 == He stated they were on time and the technician who came out was knowledgeable. <BR/>13697644 == He said the technician was very knowledgeable. <BR/>12281902 == Brett said the technicians were professional, they got out there quickly and everything went well. <BR/>14654925 == He said - XXX Company was very timely as well as the technician; the technician was very knowledgeable as well. <BR/>13450473 == He said the technician was very knowledgeable and informative about maintaining the equipment. <BR/>",15102701 == Kenny said he is not sure how knowledgeable the technician they sent out was. <BR/>
04,6,Technician Knowledge and Expertise,3.38028169,5,338.028169,"12552388 == Stephanie said that the service tech was very knowledgeable and very easy to get along with. <BR/>12922118 == He stated they were on time and the technician who came out was knowledgeable. <BR/>13697644 == He said the technician was very knowledgeable. <BR/>12281902 == Brett said the technicians were professional, they got out there quickly and everything went well. <BR/>14654925 == He said - XXX Company was very timely as well as the technician; the technician was very knowledgeable as well. <BR/>13450473 == He said the technician was very knowledgeable and informative about maintaining the equipment. <BR/>",15102701 == Kenny said he is not sure how knowledgeable the technician they sent out was. <BR/>
06,6,Technician Knowledge and Expertise,1.126760563,5,112.6760563,"12552388 == Stephanie said that the service tech was very knowledgeable and very easy to get along with. <BR/>12922118 == He stated they were on time and the technician who came out was knowledgeable. <BR/>13697644 == He said the technician was very knowledgeable. <BR/>12281902 == Brett said the technicians were professional, they got out there quickly and everything went well. <BR/>14654925 == He said - XXX Company was very timely as well as the technician; the technician was very knowledgeable as well. <BR/>13450473 == He said the technician was very knowledgeable and informative about maintaining the equipment. <BR/>",15102701 == Kenny said he is not sure how knowledgeable the technician they sent out was. <BR/>
07,7,Technician Knowledge and Expertise,3.943661972,5,394.3661972,"12552388 == Stephanie said that the service tech was very knowledgeable and very easy to get along with. <BR/>12922118 == He stated they were on time and the technician who came out was knowledgeable. <BR/>13697644 == He said the technician was very knowledgeable. <BR/>12281902 == Brett said the technicians were professional, they got out there quickly and everything went well. <BR/>14654925 == He said - XXX Company was very timely as well as the technician; the technician was very knowledgeable as well. <BR/>13450473 == He said the technician was very knowledgeable and informative about maintaining the equipment. <BR/>",15102701 == Kenny said he is not sure how knowledgeable the technician they sent out was. <BR/>
08,7,Technician Knowledge and Expertise,3.38028169,5,338.028169,"12552388 == Stephanie said that the service tech was very knowledgeable and very easy to get along with. <BR/>12922118 == He stated they were on time and the technician who came out was knowledgeable. <BR/>13697644 == He said the technician was very knowledgeable. <BR/>12281902 == Brett said the technicians were professional, they got out there quickly and everything went well. <BR/>14654925 == He said - XXX Company was very timely as well as the technician; the technician was very knowledgeable as well. <BR/>13450473 == He said the technician was very knowledgeable and informative about maintaining the equipment. <BR/>",15102701 == Kenny said he is not sure how knowledgeable the technician they sent out was. <BR/>
09,7,Technician Knowledge and Expertise,3.38028169,5,338.028169,"12552388 == Stephanie said that the service tech was very knowledgeable and very easy to get along with. <BR/>12922118 == He stated they were on time and the technician who came out was knowledgeable. <BR/>13697644 == He said the technician was very knowledgeable. <BR/>12281902 == Brett said the technicians were professional, they got out there quickly and everything went well. <BR/>14654925 == He said - XXX Company was very timely as well as the technician; the technician was very knowledgeable as well. <BR/>13450473 == He said the technician was very knowledgeable and informative about maintaining the equipment. <BR/>",15102701 == Kenny said he is not sure how knowledgeable the technician they sent out was. <BR/>
10,8,Technician Knowledge and Expertise,3.943661972,5,394.3661972,"12552388 == Stephanie said that the service tech was very knowledgeable and very easy to get along with. <BR/>12922118 == He stated they were on time and the technician who came out was knowledgeable. <BR/>13697644 == He said the technician was very knowledgeable. <BR/>12281902 == Brett said the technicians were professional, they got out there quickly and everything went well. <BR/>14654925 == He said - XXX Company was very timely as well as the technician; the technician was very knowledgeable as well. <BR/>13450473 == He said the technician was very knowledgeable and informative about maintaining the equipment. <BR/>",15102701 == Kenny said he is not sure how knowledgeable the technician they sent out was. <BR/>
06,6,Staff's Knowledge,1.126760563,5,112.6760563,12329982 == Kevin said they have knoweledgeable and professional staff and of mechanics. <BR/>13394003 == Pat said the guy is very knowledgeable. <BR/>,
08,7,Staff's Knowledge,3.38028169,5,338.028169,12329982 == Kevin said they have knoweledgeable and professional staff and of mechanics. <BR/>13394003 == Pat said the guy is very knowledgeable. <BR/>,
