id,size,actions,impact,feasibility,attractiveness,positive,negative
00,1,Technician Knowledge and Expertise,1.386979034,5,138.6979034,"12827665 == He said the technician, &quotChew&quot was knowledgeable and timely. <BR/>12826976 == He stated the technician was knowledgeable. <BR/>12827654 == Frankie stated the technician was knowledgeable. <BR/>12428431 == Debbie stated the technician was very professional. <BR/>12727250 == He said XXX Company was timely, the technician was knowledgeable and pointed out other potential issues. <BR/>12476605 == Kenny stated the technician was very knowledgeable and helpful, and has provided good follow up. <BR/>12530288 == Larry stated that the technicians are knowledgeable and the work is always resolved correctly. <BR/>12827172 == Mike said XXX Company's technician was knowledgeable. <BR/>12211396 == Jimmy would recommend XXX Company because they have the proper knowledge to preform the job. <BR/>12428843 == Andrew stated the technician was knowledgeable and arrived in a timely manner. <BR/>12282767 == Chuck said XXX Company has great knowledge and everyone there did a good job. <BR/>",
01,2,Technician Knowledge and Expertise,7.449708285,5,744.9708285,"12827665 == He said the technician, &quotChew&quot was knowledgeable and timely. <BR/>12826976 == He stated the technician was knowledgeable. <BR/>12827654 == Frankie stated the technician was knowledgeable. <BR/>12428431 == Debbie stated the technician was very professional. <BR/>12727250 == He said XXX Company was timely, the technician was knowledgeable and pointed out other potential issues. <BR/>12476605 == Kenny stated the technician was very knowledgeable and helpful, and has provided good follow up. <BR/>12530288 == Larry stated that the technicians are knowledgeable and the work is always resolved correctly. <BR/>12827172 == Mike said XXX Company's technician was knowledgeable. <BR/>12211396 == Jimmy would recommend XXX Company because they have the proper knowledge to preform the job. <BR/>12428843 == Andrew stated the technician was knowledgeable and arrived in a timely manner. <BR/>12282767 == Chuck said XXX Company has great knowledge and everyone there did a good job. <BR/>",
02,2,Technician Knowledge and Expertise,4.997897679,5,499.7897679,"12827665 == He said the technician, &quotChew&quot was knowledgeable and timely. <BR/>12826976 == He stated the technician was knowledgeable. <BR/>12827654 == Frankie stated the technician was knowledgeable. <BR/>12428431 == Debbie stated the technician was very professional. <BR/>12727250 == He said XXX Company was timely, the technician was knowledgeable and pointed out other potential issues. <BR/>12476605 == Kenny stated the technician was very knowledgeable and helpful, and has provided good follow up. <BR/>12530288 == Larry stated that the technicians are knowledgeable and the work is always resolved correctly. <BR/>12827172 == Mike said XXX Company's technician was knowledgeable. <BR/>12211396 == Jimmy would recommend XXX Company because they have the proper knowledge to preform the job. <BR/>12428843 == Andrew stated the technician was knowledgeable and arrived in a timely manner. <BR/>12282767 == Chuck said XXX Company has great knowledge and everyone there did a good job. <BR/>",
03,2,Technician Knowledge and Expertise,3.063063063,5,306.3063063,"12827665 == He said the technician, &quotChew&quot was knowledgeable and timely. <BR/>12826976 == He stated the technician was knowledgeable. <BR/>12827654 == Frankie stated the technician was knowledgeable. <BR/>12428431 == Debbie stated the technician was very professional. <BR/>12727250 == He said XXX Company was timely, the technician was knowledgeable and pointed out other potential issues. <BR/>12476605 == Kenny stated the technician was very knowledgeable and helpful, and has provided good follow up. <BR/>12530288 == Larry stated that the technicians are knowledgeable and the work is always resolved correctly. <BR/>12827172 == Mike said XXX Company's technician was knowledgeable. <BR/>12211396 == Jimmy would recommend XXX Company because they have the proper knowledge to preform the job. <BR/>12428843 == Andrew stated the technician was knowledgeable and arrived in a timely manner. <BR/>12282767 == Chuck said XXX Company has great knowledge and everyone there did a good job. <BR/>",
04,2,Technician Knowledge and Expertise,1.814786521,5,181.4786521,"12827665 == He said the technician, &quotChew&quot was knowledgeable and timely. <BR/>12826976 == He stated the technician was knowledgeable. <BR/>12827654 == Frankie stated the technician was knowledgeable. <BR/>12428431 == Debbie stated the technician was very professional. <BR/>12727250 == He said XXX Company was timely, the technician was knowledgeable and pointed out other potential issues. <BR/>12476605 == Kenny stated the technician was very knowledgeable and helpful, and has provided good follow up. <BR/>12530288 == Larry stated that the technicians are knowledgeable and the work is always resolved correctly. <BR/>12827172 == Mike said XXX Company's technician was knowledgeable. <BR/>12211396 == Jimmy would recommend XXX Company because they have the proper knowledge to preform the job. <BR/>12428843 == Andrew stated the technician was knowledgeable and arrived in a timely manner. <BR/>12282767 == Chuck said XXX Company has great knowledge and everyone there did a good job. <BR/>",
05,3,Technician Knowledge and Expertise,8.440372133,5,844.0372133,"12827665 == He said the technician, &quotChew&quot was knowledgeable and timely. <BR/>12826976 == He stated the technician was knowledgeable. <BR/>12827654 == Frankie stated the technician was knowledgeable. <BR/>12428431 == Debbie stated the technician was very professional. <BR/>12727250 == He said XXX Company was timely, the technician was knowledgeable and pointed out other potential issues. <BR/>12476605 == Kenny stated the technician was very knowledgeable and helpful, and has provided good follow up. <BR/>12530288 == Larry stated that the technicians are knowledgeable and the work is always resolved correctly. <BR/>12827172 == Mike said XXX Company's technician was knowledgeable. <BR/>12211396 == Jimmy would recommend XXX Company because they have the proper knowledge to preform the job. <BR/>12428843 == Andrew stated the technician was knowledgeable and arrived in a timely manner. <BR/>12282767 == Chuck said XXX Company has great knowledge and everyone there did a good job. <BR/>",
06,3,Technician Knowledge and Expertise,7.922513023,5,792.2513023,"12827665 == He said the technician, &quotChew&quot was knowledgeable and timely. <BR/>12826976 == He stated the technician was knowledgeable. <BR/>12827654 == Frankie stated the technician was knowledgeable. <BR/>12428431 == Debbie stated the technician was very professional. <BR/>12727250 == He said XXX Company was timely, the technician was knowledgeable and pointed out other potential issues. <BR/>12476605 == Kenny stated the technician was very knowledgeable and helpful, and has provided good follow up. <BR/>12530288 == Larry stated that the technicians are knowledgeable and the work is always resolved correctly. <BR/>12827172 == Mike said XXX Company's technician was knowledgeable. <BR/>12211396 == Jimmy would recommend XXX Company because they have the proper knowledge to preform the job. <BR/>12428843 == Andrew stated the technician was knowledgeable and arrived in a timely manner. <BR/>12282767 == Chuck said XXX Company has great knowledge and everyone there did a good job. <BR/>",
07,3,Technician Knowledge and Expertise,7.514536682,5,751.4536682,"12827665 == He said the technician, &quotChew&quot was knowledgeable and timely. <BR/>12826976 == He stated the technician was knowledgeable. <BR/>12827654 == Frankie stated the technician was knowledgeable. <BR/>12428431 == Debbie stated the technician was very professional. <BR/>12727250 == He said XXX Company was timely, the technician was knowledgeable and pointed out other potential issues. <BR/>12476605 == Kenny stated the technician was very knowledgeable and helpful, and has provided good follow up. <BR/>12530288 == Larry stated that the technicians are knowledgeable and the work is always resolved correctly. <BR/>12827172 == Mike said XXX Company's technician was knowledgeable. <BR/>12211396 == Jimmy would recommend XXX Company because they have the proper knowledge to preform the job. <BR/>12428843 == Andrew stated the technician was knowledgeable and arrived in a timely manner. <BR/>12282767 == Chuck said XXX Company has great knowledge and everyone there did a good job. <BR/>",
08,3,Technician Knowledge and Expertise,7.449708285,5,744.9708285,"12827665 == He said the technician, &quotChew&quot was knowledgeable and timely. <BR/>12826976 == He stated the technician was knowledgeable. <BR/>12827654 == Frankie stated the technician was knowledgeable. <BR/>12428431 == Debbie stated the technician was very professional. <BR/>12727250 == He said XXX Company was timely, the technician was knowledgeable and pointed out other potential issues. <BR/>12476605 == Kenny stated the technician was very knowledgeable and helpful, and has provided good follow up. <BR/>12530288 == Larry stated that the technicians are knowledgeable and the work is always resolved correctly. <BR/>12827172 == Mike said XXX Company's technician was knowledgeable. <BR/>12211396 == Jimmy would recommend XXX Company because they have the proper knowledge to preform the job. <BR/>12428843 == Andrew stated the technician was knowledgeable and arrived in a timely manner. <BR/>12282767 == Chuck said XXX Company has great knowledge and everyone there did a good job. <BR/>",
09,3,Technician Knowledge and Expertise,5.771681394,5,577.1681394,"12827665 == He said the technician, &quotChew&quot was knowledgeable and timely. <BR/>12826976 == He stated the technician was knowledgeable. <BR/>12827654 == Frankie stated the technician was knowledgeable. <BR/>12428431 == Debbie stated the technician was very professional. <BR/>12727250 == He said XXX Company was timely, the technician was knowledgeable and pointed out other potential issues. <BR/>12476605 == Kenny stated the technician was very knowledgeable and helpful, and has provided good follow up. <BR/>12530288 == Larry stated that the technicians are knowledgeable and the work is always resolved correctly. <BR/>12827172 == Mike said XXX Company's technician was knowledgeable. <BR/>12211396 == Jimmy would recommend XXX Company because they have the proper knowledge to preform the job. <BR/>12428843 == Andrew stated the technician was knowledgeable and arrived in a timely manner. <BR/>12282767 == Chuck said XXX Company has great knowledge and everyone there did a good job. <BR/>",
