id,size,actions,impact,feasibility,attractiveness,positive,negative
00,2,Technician Knowledge and Expertise,1.67539267,5,167.539267,"15464156 == Ruth said XXX Company of California is friendly knowledgeable and fair. <BR/>14017689 == He stated that the service technician was very knowledgeable and helpful. <BR/>12256515 == David said XXX Company of California is professional, clean, has knowledgeable technicians and are responsive. <BR/>13328524 == Ryan said the technician was professional, but the problem is not resolved. <BR/>14328090 == Ryan said the technician was very knowledgeable and got the equipment up and running quickly. <BR/>14328048 == Jeff said that they were prompt, on time and there when they said they would be,  He also said that the tech was knowledgeable. <BR/>12290199 == Ty said XXX Company of California's mechanic Tom is honest, knowledgeable and provides excellent service. <BR/>13715874 == Mike stated the service was efficient and the technician was knowledgeable and thorough. <BR/>14914737 == Jerry stated they are polite, knowledgeable and he's had no problems. <BR/>14118610 == Frank stated the technicians are very knowledgeable. <BR/>13219264 == Rich stated the mechanic had knowledge and repaired in a timely manner. <BR/>14479766 == Kevin stated the technicians are very knowledgeable. <BR/>",
01,3,Technician Knowledge and Expertise,1.884816754,5,188.4816754,"15464156 == Ruth said XXX Company of California is friendly knowledgeable and fair. <BR/>14017689 == He stated that the service technician was very knowledgeable and helpful. <BR/>12256515 == David said XXX Company of California is professional, clean, has knowledgeable technicians and are responsive. <BR/>13328524 == Ryan said the technician was professional, but the problem is not resolved. <BR/>14328090 == Ryan said the technician was very knowledgeable and got the equipment up and running quickly. <BR/>14328048 == Jeff said that they were prompt, on time and there when they said they would be,  He also said that the tech was knowledgeable. <BR/>12290199 == Ty said XXX Company of California's mechanic Tom is honest, knowledgeable and provides excellent service. <BR/>13715874 == Mike stated the service was efficient and the technician was knowledgeable and thorough. <BR/>14914737 == Jerry stated they are polite, knowledgeable and he's had no problems. <BR/>14118610 == Frank stated the technicians are very knowledgeable. <BR/>13219264 == Rich stated the mechanic had knowledge and repaired in a timely manner. <BR/>14479766 == Kevin stated the technicians are very knowledgeable. <BR/>",
02,3,Technician Knowledge and Expertise,1.67539267,5,167.539267,"15464156 == Ruth said XXX Company of California is friendly knowledgeable and fair. <BR/>14017689 == He stated that the service technician was very knowledgeable and helpful. <BR/>12256515 == David said XXX Company of California is professional, clean, has knowledgeable technicians and are responsive. <BR/>13328524 == Ryan said the technician was professional, but the problem is not resolved. <BR/>14328090 == Ryan said the technician was very knowledgeable and got the equipment up and running quickly. <BR/>14328048 == Jeff said that they were prompt, on time and there when they said they would be,  He also said that the tech was knowledgeable. <BR/>12290199 == Ty said XXX Company of California's mechanic Tom is honest, knowledgeable and provides excellent service. <BR/>13715874 == Mike stated the service was efficient and the technician was knowledgeable and thorough. <BR/>14914737 == Jerry stated they are polite, knowledgeable and he's had no problems. <BR/>14118610 == Frank stated the technicians are very knowledgeable. <BR/>13219264 == Rich stated the mechanic had knowledge and repaired in a timely manner. <BR/>14479766 == Kevin stated the technicians are very knowledgeable. <BR/>",
04,3,Technician Knowledge and Expertise,0.209424084,5,20.94240838,"15464156 == Ruth said XXX Company of California is friendly knowledgeable and fair. <BR/>14017689 == He stated that the service technician was very knowledgeable and helpful. <BR/>12256515 == David said XXX Company of California is professional, clean, has knowledgeable technicians and are responsive. <BR/>13328524 == Ryan said the technician was professional, but the problem is not resolved. <BR/>14328090 == Ryan said the technician was very knowledgeable and got the equipment up and running quickly. <BR/>14328048 == Jeff said that they were prompt, on time and there when they said they would be,  He also said that the tech was knowledgeable. <BR/>12290199 == Ty said XXX Company of California's mechanic Tom is honest, knowledgeable and provides excellent service. <BR/>13715874 == Mike stated the service was efficient and the technician was knowledgeable and thorough. <BR/>14914737 == Jerry stated they are polite, knowledgeable and he's had no problems. <BR/>14118610 == Frank stated the technicians are very knowledgeable. <BR/>13219264 == Rich stated the mechanic had knowledge and repaired in a timely manner. <BR/>14479766 == Kevin stated the technicians are very knowledgeable. <BR/>",
06,4,Technician Knowledge and Expertise,2.443280977,5,244.3280977,"15464156 == Ruth said XXX Company of California is friendly knowledgeable and fair. <BR/>14017689 == He stated that the service technician was very knowledgeable and helpful. <BR/>12256515 == David said XXX Company of California is professional, clean, has knowledgeable technicians and are responsive. <BR/>13328524 == Ryan said the technician was professional, but the problem is not resolved. <BR/>14328090 == Ryan said the technician was very knowledgeable and got the equipment up and running quickly. <BR/>14328048 == Jeff said that they were prompt, on time and there when they said they would be,  He also said that the tech was knowledgeable. <BR/>12290199 == Ty said XXX Company of California's mechanic Tom is honest, knowledgeable and provides excellent service. <BR/>13715874 == Mike stated the service was efficient and the technician was knowledgeable and thorough. <BR/>14914737 == Jerry stated they are polite, knowledgeable and he's had no problems. <BR/>14118610 == Frank stated the technicians are very knowledgeable. <BR/>13219264 == Rich stated the mechanic had knowledge and repaired in a timely manner. <BR/>14479766 == Kevin stated the technicians are very knowledgeable. <BR/>",
07,4,Technician Knowledge and Expertise,0.837696335,5,83.76963351,"15464156 == Ruth said XXX Company of California is friendly knowledgeable and fair. <BR/>14017689 == He stated that the service technician was very knowledgeable and helpful. <BR/>12256515 == David said XXX Company of California is professional, clean, has knowledgeable technicians and are responsive. <BR/>13328524 == Ryan said the technician was professional, but the problem is not resolved. <BR/>14328090 == Ryan said the technician was very knowledgeable and got the equipment up and running quickly. <BR/>14328048 == Jeff said that they were prompt, on time and there when they said they would be,  He also said that the tech was knowledgeable. <BR/>12290199 == Ty said XXX Company of California's mechanic Tom is honest, knowledgeable and provides excellent service. <BR/>13715874 == Mike stated the service was efficient and the technician was knowledgeable and thorough. <BR/>14914737 == Jerry stated they are polite, knowledgeable and he's had no problems. <BR/>14118610 == Frank stated the technicians are very knowledgeable. <BR/>13219264 == Rich stated the mechanic had knowledge and repaired in a timely manner. <BR/>14479766 == Kevin stated the technicians are very knowledgeable. <BR/>",
09,5,Technician Knowledge and Expertise,11.04277084,5,1104.277084,"15464156 == Ruth said XXX Company of California is friendly knowledgeable and fair. <BR/>14017689 == He stated that the service technician was very knowledgeable and helpful. <BR/>12256515 == David said XXX Company of California is professional, clean, has knowledgeable technicians and are responsive. <BR/>13328524 == Ryan said the technician was professional, but the problem is not resolved. <BR/>14328090 == Ryan said the technician was very knowledgeable and got the equipment up and running quickly. <BR/>14328048 == Jeff said that they were prompt, on time and there when they said they would be,  He also said that the tech was knowledgeable. <BR/>12290199 == Ty said XXX Company of California's mechanic Tom is honest, knowledgeable and provides excellent service. <BR/>13715874 == Mike stated the service was efficient and the technician was knowledgeable and thorough. <BR/>14914737 == Jerry stated they are polite, knowledgeable and he's had no problems. <BR/>14118610 == Frank stated the technicians are very knowledgeable. <BR/>13219264 == Rich stated the mechanic had knowledge and repaired in a timely manner. <BR/>14479766 == Kevin stated the technicians are very knowledgeable. <BR/>",
12,5,Technician Knowledge and Expertise,1.047120419,5,104.7120419,"15464156 == Ruth said XXX Company of California is friendly knowledgeable and fair. <BR/>14017689 == He stated that the service technician was very knowledgeable and helpful. <BR/>12256515 == David said XXX Company of California is professional, clean, has knowledgeable technicians and are responsive. <BR/>13328524 == Ryan said the technician was professional, but the problem is not resolved. <BR/>14328090 == Ryan said the technician was very knowledgeable and got the equipment up and running quickly. <BR/>14328048 == Jeff said that they were prompt, on time and there when they said they would be,  He also said that the tech was knowledgeable. <BR/>12290199 == Ty said XXX Company of California's mechanic Tom is honest, knowledgeable and provides excellent service. <BR/>13715874 == Mike stated the service was efficient and the technician was knowledgeable and thorough. <BR/>14914737 == Jerry stated they are polite, knowledgeable and he's had no problems. <BR/>14118610 == Frank stated the technicians are very knowledgeable. <BR/>13219264 == Rich stated the mechanic had knowledge and repaired in a timely manner. <BR/>14479766 == Kevin stated the technicians are very knowledgeable. <BR/>",
13,6,Technician Knowledge and Expertise,11.24926592,5,1124.926592,"15464156 == Ruth said XXX Company of California is friendly knowledgeable and fair. <BR/>14017689 == He stated that the service technician was very knowledgeable and helpful. <BR/>12256515 == David said XXX Company of California is professional, clean, has knowledgeable technicians and are responsive. <BR/>13328524 == Ryan said the technician was professional, but the problem is not resolved. <BR/>14328090 == Ryan said the technician was very knowledgeable and got the equipment up and running quickly. <BR/>14328048 == Jeff said that they were prompt, on time and there when they said they would be,  He also said that the tech was knowledgeable. <BR/>12290199 == Ty said XXX Company of California's mechanic Tom is honest, knowledgeable and provides excellent service. <BR/>13715874 == Mike stated the service was efficient and the technician was knowledgeable and thorough. <BR/>14914737 == Jerry stated they are polite, knowledgeable and he's had no problems. <BR/>14118610 == Frank stated the technicians are very knowledgeable. <BR/>13219264 == Rich stated the mechanic had knowledge and repaired in a timely manner. <BR/>14479766 == Kevin stated the technicians are very knowledgeable. <BR/>",
14,6,Technician Knowledge and Expertise,11.08336689,5,1108.336689,"15464156 == Ruth said XXX Company of California is friendly knowledgeable and fair. <BR/>14017689 == He stated that the service technician was very knowledgeable and helpful. <BR/>12256515 == David said XXX Company of California is professional, clean, has knowledgeable technicians and are responsive. <BR/>13328524 == Ryan said the technician was professional, but the problem is not resolved. <BR/>14328090 == Ryan said the technician was very knowledgeable and got the equipment up and running quickly. <BR/>14328048 == Jeff said that they were prompt, on time and there when they said they would be,  He also said that the tech was knowledgeable. <BR/>12290199 == Ty said XXX Company of California's mechanic Tom is honest, knowledgeable and provides excellent service. <BR/>13715874 == Mike stated the service was efficient and the technician was knowledgeable and thorough. <BR/>14914737 == Jerry stated they are polite, knowledgeable and he's had no problems. <BR/>14118610 == Frank stated the technicians are very knowledgeable. <BR/>13219264 == Rich stated the mechanic had knowledge and repaired in a timely manner. <BR/>14479766 == Kevin stated the technicians are very knowledgeable. <BR/>",
