id,size,actions,impact,feasibility,attractiveness,positive,negative
00,1,Order Accuracy,5.633802816901408,5,28.16901408450704,"Larkin stated that the get them the right parts on their  parts orders. (14401936)<BR/>","",
01,3,Communication Quality,8.109766088387,5,40.548830441934996,"He said Ron and some of the guys are knowledgeable and communicate well and are nice guys. (13761208)<BR/>","",
01,3,Care and Respect From Staff,8.109766088387,5,40.548830441934996,"Curtis said that the personnel are very helpful.  He also said that they get back to him with pricing really fast. (15434981)<BR/>He said Ron and some of the guys are knowledgeable and communicate well and are nice guys. (13761208)<BR/>","",
01,3,Knowledgeable Staff,8.109766088387,5,40.548830441934996,"Rick stated the parts staff is knowledgeable and the service is good. (14991263)<BR/>","",
02,3,Communication Quality,2.816901408450704,5,14.08450704225352,"He said Ron and some of the guys are knowledgeable and communicate well and are nice guys. (13761208)<BR/>","",
02,3,Order Accuracy,2.816901408450704,5,14.08450704225352,"Larkin stated that the get them the right parts on their  parts orders. (14401936)<BR/>","",
02,3,Care and Respect From Staff,2.816901408450704,5,14.08450704225352,"Curtis said that the personnel are very helpful.  He also said that they get back to him with pricing really fast. (15434981)<BR/>He said Ron and some of the guys are knowledgeable and communicate well and are nice guys. (13761208)<BR/>","",
03,4,Communication Quality,11.125918188557181,5,55.6295909427859,"He said Ron and some of the guys are knowledgeable and communicate well and are nice guys. (13761208)<BR/>","",
03,4,Order Accuracy,11.125918188557181,5,55.6295909427859,"Larkin stated that the get them the right parts on their  parts orders. (14401936)<BR/>","",
03,4,Care and Respect From Staff,11.125918188557181,5,55.6295909427859,"Curtis said that the personnel are very helpful.  He also said that they get back to him with pricing really fast. (15434981)<BR/>He said Ron and some of the guys are knowledgeable and communicate well and are nice guys. (13761208)<BR/>","",
03,4,Knowledgeable Staff,11.125918188557181,5,55.6295909427859,"Rick stated the parts staff is knowledgeable and the service is good. (14991263)<BR/>","",
