id,size,actions,impact,feasibility,attractiveness,positive,negative
00,4,Communication Quality,1.0775862068965518,5,5.387931034482759,"She stated that they were very friendly and easy to speak with. (12635361)<BR/>","",
00,4,Order Accuracy,1.0775862068965518,5,5.387931034482759,"He stated because there was no problems, everything was as they said it would be and the order was completed in a timely manner. (12538697)<BR/>","",
00,4,Care and Respect From Staff,1.0775862068965518,5,5.387931034482759,"Curtis stated that the main reason is the very helpful parts staff and the ability to get him the right parts. (13758394)<BR/>He said good service and prompt. He later added they are a good bunch of guys. (13105077)<BR/>Willie stated the parts staff is great and the delivery option is important for him. (13338719)<BR/>He said he has done business for years with XXX Company and all the staff is helpful. (13878764)<BR/>Jerin stated that the helpful parts staff and good parts availability are the main reasons. (13598484)<BR/>","Jason said they need better people skills. (12188892)<BR/>",
00,4,Parts Quality,1.0775862068965518,5,5.387931034482759,"Chad said XXX Company always treats him well and they have good parts availability. (14169049)<BR/>Ron said XXX Company gives good service, information and availability of parts. (13972368)<BR/>Jerin stated that the helpful parts staff and good parts availability are the main reasons. (13598484)<BR/>","",
01,6,Service Completed Successfully,1.0725406527505479,5,5.362703263752739,"Mike said it is business as usual with XXX Company and they do well for him. (14331518)<BR/>","",
01,6,Care and Respect From Staff,1.0725406527505479,5,5.362703263752739,"Curtis stated that the main reason is the very helpful parts staff and the ability to get him the right parts. (13758394)<BR/>He said good service and prompt. He later added they are a good bunch of guys. (13105077)<BR/>Willie stated the parts staff is great and the delivery option is important for him. (13338719)<BR/>He said he has done business for years with XXX Company and all the staff is helpful. (13878764)<BR/>Jerin stated that the helpful parts staff and good parts availability are the main reasons. (13598484)<BR/>","Jason said they need better people skills. (12188892)<BR/>",
01,6,Parts Availability,1.0725406527505479,5,5.362703263752739,"He stated they seem to always get the parts on time and parts are always available. (12388927)<BR/>He stated their parts are readily available and pricing is good. (12442828)<BR/>Dave stated they had his parts well stocked. (13179829)<BR/>","",
01,6,Knowledgeable Staff,1.0725406527505479,5,5.362703263752739,"Jeremy stated the staff is knowledgeable and the service is done in a timely manner. (13057777)<BR/>John stated that the knowledgeable parts staff, fast service and overall good parts department are the reasons for this rating. (13758392)<BR/>Ralph stated they have a knowledgeable staff and are easy to communicate with. (12942169)<BR/>","Jason said they need better people skills. (12188892)<BR/>",
01,6,Competitive Pricing,1.0725406527505479,5,5.362703263752739,"He stated their parts are readily available and pricing is good. (12442828)<BR/>","",
01,6,Parts Quality,1.0725406527505479,5,5.362703263752739,"Chad said XXX Company always treats him well and they have good parts availability. (14169049)<BR/>Ron said XXX Company gives good service, information and availability of parts. (13972368)<BR/>Jerin stated that the helpful parts staff and good parts availability are the main reasons. (13598484)<BR/>","",
02,7,Service Completed Successfully,1.605201151769331,5,8.026005758846654,"Mike said it is business as usual with XXX Company and they do well for him. (14331518)<BR/>","",
02,7,Communication Quality,1.605201151769331,5,8.026005758846654,"She stated that they were very friendly and easy to speak with. (12635361)<BR/>","",
02,7,Care and Respect From Staff,1.605201151769331,5,8.026005758846654,"Curtis stated that the main reason is the very helpful parts staff and the ability to get him the right parts. (13758394)<BR/>He said good service and prompt. He later added they are a good bunch of guys. (13105077)<BR/>Willie stated the parts staff is great and the delivery option is important for him. (13338719)<BR/>He said he has done business for years with XXX Company and all the staff is helpful. (13878764)<BR/>Jerin stated that the helpful parts staff and good parts availability are the main reasons. (13598484)<BR/>","Jason said they need better people skills. (12188892)<BR/>",
02,7,Parts Availability,1.605201151769331,5,8.026005758846654,"He stated they seem to always get the parts on time and parts are always available. (12388927)<BR/>He stated their parts are readily available and pricing is good. (12442828)<BR/>Dave stated they had his parts well stocked. (13179829)<BR/>","",
02,7,Knowledgeable Staff,1.605201151769331,5,8.026005758846654,"Jeremy stated the staff is knowledgeable and the service is done in a timely manner. (13057777)<BR/>John stated that the knowledgeable parts staff, fast service and overall good parts department are the reasons for this rating. (13758392)<BR/>Ralph stated they have a knowledgeable staff and are easy to communicate with. (12942169)<BR/>","Jason said they need better people skills. (12188892)<BR/>",
02,7,Competitive Pricing,1.605201151769331,5,8.026005758846654,"He stated their parts are readily available and pricing is good. (12442828)<BR/>","",
02,7,Parts Quality,1.605201151769331,5,8.026005758846654,"Chad said XXX Company always treats him well and they have good parts availability. (14169049)<BR/>Ron said XXX Company gives good service, information and availability of parts. (13972368)<BR/>Jerin stated that the helpful parts staff and good parts availability are the main reasons. (13598484)<BR/>","",
03,8,Service Completed Successfully,1.6147008271565153,5,8.073504135782576,"Mike said it is business as usual with XXX Company and they do well for him. (14331518)<BR/>","",
03,8,Communication Quality,1.6147008271565153,5,8.073504135782576,"She stated that they were very friendly and easy to speak with. (12635361)<BR/>","",
03,8,Order Accuracy,1.6147008271565153,5,8.073504135782576,"He stated because there was no problems, everything was as they said it would be and the order was completed in a timely manner. (12538697)<BR/>","",
03,8,Care and Respect From Staff,1.6147008271565153,5,8.073504135782576,"Curtis stated that the main reason is the very helpful parts staff and the ability to get him the right parts. (13758394)<BR/>He said good service and prompt. He later added they are a good bunch of guys. (13105077)<BR/>Willie stated the parts staff is great and the delivery option is important for him. (13338719)<BR/>He said he has done business for years with XXX Company and all the staff is helpful. (13878764)<BR/>Jerin stated that the helpful parts staff and good parts availability are the main reasons. (13598484)<BR/>","Jason said they need better people skills. (12188892)<BR/>",
03,8,Parts Availability,1.6147008271565153,5,8.073504135782576,"He stated they seem to always get the parts on time and parts are always available. (12388927)<BR/>He stated their parts are readily available and pricing is good. (12442828)<BR/>Dave stated they had his parts well stocked. (13179829)<BR/>","",
03,8,Knowledgeable Staff,1.6147008271565153,5,8.073504135782576,"Jeremy stated the staff is knowledgeable and the service is done in a timely manner. (13057777)<BR/>John stated that the knowledgeable parts staff, fast service and overall good parts department are the reasons for this rating. (13758392)<BR/>Ralph stated they have a knowledgeable staff and are easy to communicate with. (12942169)<BR/>","Jason said they need better people skills. (12188892)<BR/>",
03,8,Competitive Pricing,1.6147008271565153,5,8.073504135782576,"He stated their parts are readily available and pricing is good. (12442828)<BR/>","",
03,8,Parts Quality,1.6147008271565153,5,8.073504135782576,"Chad said XXX Company always treats him well and they have good parts availability. (14169049)<BR/>Ron said XXX Company gives good service, information and availability of parts. (13972368)<BR/>Jerin stated that the helpful parts staff and good parts availability are the main reasons. (13598484)<BR/>","",
