id,size,actions,impact,feasibility,attractiveness,positive,negative
00,4,Care and Respect From Staff,1.8957345971563981,5,9.47867298578199,"Robert stated XXX Company Co.'s staff is very friendly and they usually have the parts he needs. (12931154)<BR/>Rick stated that they have a good parts staff. (13665718)<BR/>He said the parts guys are very good at what they do they are fun to joke around with. They are friendly and helpful. (14309550)<BR/>","",
00,4,Knowledgeable Staff,1.8957345971563981,5,9.47867298578199,"Chad stated they have a very knowledgeable staff who are supportive and willing to help. (12116664)<BR/>Mike stated availability of parts and knowledgeable staff. (12671860)<BR/>Ed stated they are quick, knowledgeable and rarely make mistakes and if they do correct them in a time manner. (13981282)<BR/>","",
00,4,Competitive Pricing,1.8957345971563981,5,9.47867298578199,"","Ashley stated he thinks the pricing could be better. (12307139)<BR/>",
00,4,Parts Quality,1.8957345971563981,5,9.47867298578199,"Shannon stated he would recommend because the parts availability is very good compared to their competitors. (12307058)<BR/>","",
01,6,Timely Parts Arrival,1.8957345971563981,5,9.47867298578199,"Joe stated XXX Company Co. is the only provider in area and they are timely with parts orders. (12670985)<BR/>","",
01,6,Care and Respect From Staff,1.8957345971563981,5,9.47867298578199,"Robert stated XXX Company Co.'s staff is very friendly and they usually have the parts he needs. (12931154)<BR/>Rick stated that they have a good parts staff. (13665718)<BR/>He said the parts guys are very good at what they do they are fun to joke around with. They are friendly and helpful. (14309550)<BR/>","",
01,6,Parts Availability,1.8957345971563981,5,9.47867298578199,"Jan stated XXX Company's staff is knowledgeable about parts. (14625125)<BR/>Tony stated they are easy to work with and they keep their parts stocked well. (12306469)<BR/>","",
01,6,Knowledgeable Staff,1.8957345971563981,5,9.47867298578199,"Chad stated they have a very knowledgeable staff who are supportive and willing to help. (12116664)<BR/>Mike stated availability of parts and knowledgeable staff. (12671860)<BR/>Ed stated they are quick, knowledgeable and rarely make mistakes and if they do correct them in a time manner. (13981282)<BR/>","",
01,6,Competitive Pricing,1.8957345971563981,5,9.47867298578199,"","Ashley stated he thinks the pricing could be better. (12307139)<BR/>",
01,6,Parts Quality,1.8957345971563981,5,9.47867298578199,"Shannon stated he would recommend because the parts availability is very good compared to their competitors. (12307058)<BR/>","",
02,7,Timely Parts Arrival,2.843601895734597,5,14.218009478672986,"Joe stated XXX Company Co. is the only provider in area and they are timely with parts orders. (12670985)<BR/>","",
02,7,Service Completed Successfully,2.843601895734597,5,14.218009478672986,"He stated everything was done well. (15244680)<BR/>Joe stated that there's nothing in particular that they do well, it's just that they're the only CAT dealer around. (14899648)<BR/>","",
02,7,Care and Respect From Staff,2.843601895734597,5,14.218009478672986,"Robert stated XXX Company Co.'s staff is very friendly and they usually have the parts he needs. (12931154)<BR/>Rick stated that they have a good parts staff. (13665718)<BR/>He said the parts guys are very good at what they do they are fun to joke around with. They are friendly and helpful. (14309550)<BR/>","",
02,7,Parts Availability,2.843601895734597,5,14.218009478672986,"Jan stated XXX Company's staff is knowledgeable about parts. (14625125)<BR/>Tony stated they are easy to work with and they keep their parts stocked well. (12306469)<BR/>","",
02,7,Knowledgeable Staff,2.843601895734597,5,14.218009478672986,"Chad stated they have a very knowledgeable staff who are supportive and willing to help. (12116664)<BR/>Mike stated availability of parts and knowledgeable staff. (12671860)<BR/>Ed stated they are quick, knowledgeable and rarely make mistakes and if they do correct them in a time manner. (13981282)<BR/>","",
02,7,Competitive Pricing,2.843601895734597,5,14.218009478672986,"","Ashley stated he thinks the pricing could be better. (12307139)<BR/>",
02,7,Parts Quality,2.843601895734597,5,14.218009478672986,"Shannon stated he would recommend because the parts availability is very good compared to their competitors. (12307058)<BR/>","",
