origin,destination,count,nr
Client1,Client1,1,1
Client1,Client32,1,1
Client1,Client23,1,2
Client1,Client30,1,3
Client1,Client16,1,4
Client1,Client28,1,5
Client1,Client19,1,6
Client1,Client4,1,7
Client1,Client22,1,8
Client11,Client11,1,1
Client12,Client12,1,1
Client12,Client26,1,1
Client13,Client13,1,1
Client14,Client14,1,1
Client14,Client24,1,1
Client14,Client25,1,2
Client14,Client18,1,3
Client14,Client38,1,4
Client15,Client15,1,1
Client16,Client16,1,1
Client16,Client28,1,1
Client17,Client17,1,1
Client17,Client2,1,1
Client18,Client18,1,1
Client19,Client19,1,1
Client2,Client2,1,1
Client2,Client8,1,1
Client20,Client20,1,1
Client20,Client19,1,1
Client20,Client23,1,2
Client20,Client28,1,3
Client21,Client21,1,1
Client21,Client4,1,1
Client21,Client22,1,2
Client21,Client19,1,3
Client21,Client23,1,4
Client21,Client28,1,5
Client21,Client13,1,6
Client21,Client5,1,7
Client21,Client25,1,8
Client21,Client38,1,9
Client21,Client24,1,10
Client22,Client22,1,1
Client23,Client23,1,1
Client23,Client28,1,1
Client24,Client24,1,1
Client25,Client25,1,1
Client25,Client18,1,1
Client26,Client26,1,1
Client27,Client27,1,1
Client27,Client2,1,1
Client27,Client8,1,2
Client27,Client17,1,3
Client28,Client28,1,1
Client29,Client29,1,1
Client29,Client2,1,1
Client29,Client7,1,2
Client29,Client26,1,3
Client29,Client19,1,4
Client29,Client23,1,5
Client29,Client28,1,6
Client29,Client11,1,7
Client29,Client25,1,8
Client29,Client18,1,9
Client29,Client24,1,10
Client3,Client3,1,1
Client3,Client5,1,1
Client3,Client25,1,2
Client3,Client18,1,3
Client3,Client38,1,4
Client30,Client30,1,1
Client30,Client6,1,1
Client32,Client32,1,1
Client33,Client33,1,1
Client33,Client15,1,1
Client34,Client34,1,1
Client34,Client15,1,1
Client34,Client21,1,2
Client34,Client4,1,3
Client34,Client22,1,4
Client34,Client19,1,5
Client34,Client20,1,6
Client34,Client1,1,7
Client34,Client32,1,8
Client34,Client23,1,9
Client34,Client30,1,10
Client34,Client6,1,11
Client34,Client16,1,12
Client34,Client28,1,13
Client34,Client11,1,14
Client34,Client13,1,15
Client34,Client35,1,16
Client34,Client5,1,17
Client35,Client35,1,1
Client35,Client5,1,1
Client35,Client25,1,2
Client35,Client18,1,3
Client35,Client38,1,4
Client35,Client24,1,5
Client36,Client36,1,1
Client36,Client5,1,1
Client36,Client25,1,2
Client36,Client18,1,3
Client36,Client38,1,4
Client37,Client37,1,1
Client37,Client3,1,1
Client37,Client5,1,2
Client37,Client25,1,3
Client37,Client18,1,4
Client37,Client38,1,5
Client37,Client24,1,6
Client37,Client13,1,7
Client37,Client4,1,8
Client37,Client19,1,9
Client37,Client23,1,10
Client37,Client28,1,11
Client38,Client38,1,1
Client38,Client18,1,1
Client4,Client4,1,1
Client5,Client5,1,1
Client6,Client6,1,1
Client6,Client16,1,1
Client6,Client28,1,2
Client7,Client7,1,1
Client7,Client26,1,1
Client8,Client8,1,1
Client9,Client9,1,1
Client9,Client21,1,1
Client9,Client4,1,2
Client9,Client22,1,3
Client9,Client19,1,4
Client9,Client20,1,5
Client9,Client1,1,6
Client9,Client32,1,7
Client9,Client23,1,8
Client9,Client30,1,9
Client9,Client6,1,10
Client9,Client16,1,11
Client9,Client28,1,12
