year	benchmark	value	avg
1	1	10	9.45
1	2	10	9.46
1	3	0	0
1	4	10	9.54
1	5	10	9.19
1	6	10	1.87
1	7	10	9.4
1	8	10	9.18
1	9	10	9.5
1	10	0	0
1	11	0	0
1	12	10	9.46
1	13	10	9.39
1	14	0	9.47
1	15	0	9.24
1	16	0	8.93
2	1	5.7	9.52
2	2	8.6	9.5
2	3	0	0
2	4	14.3	9.6
2	5	14.3	9.15
2	6	14.3	1.84
2	7	2.9	9.35
2	8	14.3	9.17
2	9	14.3	9.61
2	10	0	0
2	11	0	0
2	12	5.7	9.54
2	13	5.7	9.43
2	14	0	9.43
2	15	0	9.45
2	16	0	9.11
3	1	0	9.59
3	2	9.5	9.54
3	3	0	0
3	4	14.3	9.68
3	5	14.3	9.34
3	6	14.3	1.85
3	7	4.8	9.51
3	8	14.3	9.21
3	9	14.3	9.66
3	10	0	0
3	11	0	0
3	12	4.8	9.56
3	13	9.5	9.56
3	14	0	9.61
3	15	0	9.49
3	16	0	9.12
4	1	11.1	9.54
4	2	11.1	9.51
4	3	0	0
4	4	11.1	9.52
4	5	11.1	9.35
4	6	11.1	1.73
4	7	11.1	9.39
4	8	11.1	9.05
4	9	0	9.72
4	10	0	0
4	11	0	0
4	12	11.1	9.6
4	13	11.1	9.55
4	14	0	9.69
4	15	0	9.36
4	16	0	9.23
5	1	33.3	9.27
5	2	0	9.91
5	3	0	0
5	4	33.3	9.49
5	5	33.3	9.57
5	6	0	0
5	7	0	9.45
5	8	0	9
5	9	0	9.73
5	10	0	0
5	11	0	0
5	12	0	0
5	13	0	9.64
5	14	0	9.64
5	15	0	9.66
5	16	0	0
