year	benchmark	value	avg
1	1	10	9.18
1	2	10	9.27
1	3	0	0
1	4	10	9.43
1	5	10	8.99
1	6	10	1.85
1	7	10	9.2
1	8	10	9
1	9	10	9.36
1	10	0	0
1	11	0	9.48
1	12	10	9.08
1	13	10	9.18
1	14	0	9.39
1	15	0	9.23
1	16	0	9.09
2	1	10	9.16
2	2	10	9.29
2	3	0	0
2	4	10	9.41
2	5	10	8.98
2	6	10	1.87
2	7	10	9.12
2	8	10	8.91
2	9	10	9.3
2	10	0	0
2	11	0	9.47
2	12	10	9.2
2	13	10	9.19
2	14	0	9.39
2	15	0	9.15
2	16	0	9.06
3	1	7.2	9.28
3	2	8.7	9.32
3	3	0	0
3	4	14.5	9.52
3	5	10.1	9.09
3	6	14.5	1.87
3	7	0	9.35
3	8	10.1	9.09
3	9	10.1	9.39
3	10	0	0
3	11	0	9.5
3	12	8.7	9.21
3	13	7.2	9.35
3	14	0	9.45
3	15	0	9.28
3	16	0	9.16
4	1	20	9.45
4	2	20	9.48
4	3	0	0
4	4	20	9.51
4	5	20	9.35
4	6	0	0
4	7	0	0
4	8	0	0
4	9	20	9.58
4	10	0	0
4	11	0	0
4	12	0	0
4	13	0	0
4	14	0	9.57
4	15	0	0
4	16	0	0
5	1	20	9.46
5	2	20	9.47
5	3	0	0
5	4	20	9.48
5	5	20	9.45
5	6	0	0
5	7	0	0
5	8	0	0
5	9	20	9.59
5	10	0	0
5	11	0	0
5	12	0	0
5	13	0	0
5	14	0	9.6
5	15	0	9.53
5	16	0	0
