year	benchmark	value	avg
1	1	11.1	9.19
1	2	11.1	9.23
1	3	0	0
1	4	11.1	9.33
1	5	11.1	8.92
1	6	11.1	1.83
1	7	0	8.85
1	8	11.1	9.09
1	9	11.1	9.36
1	10	0	0
1	11	0	0
1	12	11.1	9.17
1	13	11.1	9.13
1	14	0	9.29
1	15	0	9.23
1	16	0	8.35
2	1	11.1	9.16
2	2	0	9.33
2	3	0	0
2	4	11.1	9.48
2	5	11.1	9.01
2	6	11.1	1.87
2	7	11.1	9.01
2	8	11.1	8.83
2	9	11.1	9.38
2	10	0	0
2	11	0	0
2	12	11.1	9.13
2	13	11.1	9.08
2	14	0	9.37
2	15	0	9.17
2	16	0	8.63
3	1	12.6	9.35
3	2	6	9.49
3	3	0	0
3	4	11.9	9.49
3	5	8.6	9.06
3	6	4.6	1.82
3	7	9.3	9.19
3	8	13.9	8.92
3	9	13.2	9.42
3	10	0	0
3	11	0	0
3	12	8.6	9.21
3	13	11.3	9.35
3	14	0	9.55
3	15	0	9.2
3	16	0	9.08
4	1	0	9.33
4	2	6.7	9.52
4	3	0	0
4	4	20	9.16
4	5	20	9.14
4	6	6.7	1.84
4	7	6.7	9.42
4	8	20	9.02
4	9	0	9.49
4	10	0	0
4	11	0	9.56
4	12	0	9.42
4	13	20	9.39
4	14	0	9.53
4	15	0	9.39
4	16	0	9.3
5	1	20	9.39
5	2	0	9.57
5	3	0	0
5	4	20	9.24
5	5	20	9.29
5	6	0	0
5	7	0	0
5	8	20	9.17
5	9	0	9.55
5	10	0	0
5	11	0	9.65
5	12	0	0
5	13	20	9.39
5	14	0	9.63
5	15	0	9.63
5	16	0	0
