year	benchmark	value	avg
1	1	6.7	9.28
1	2	6.7	9.38
1	3	0	0
1	4	13.3	9.39
1	5	13.3	9.06
1	6	13.3	1.86
1	7	6.7	9.26
1	8	6.7	9
1	9	13.3	9.4
1	10	0	0
1	11	0	0
1	12	13.3	9.38
1	13	6.7	9.3
1	14	0	9.55
1	15	0	9.23
1	16	0	9.12
2	1	0	9.3
2	2	11.1	9.4
2	3	0	0
2	4	11.1	9.46
2	5	11.1	9.13
2	6	11.1	1.79
2	7	11.1	9.35
2	8	11.1	8.96
2	9	11.1	9.39
2	10	0	0
2	11	0	0
2	12	11.1	9.39
2	13	11.1	9.33
2	14	0	9.55
2	15	0	9.41
2	16	0	9.33
3	1	10	9.33
3	2	10	9.45
3	3	0	0
3	4	10	9.45
3	5	10	9.14
3	6	10	1.78
3	7	10	9.2
3	8	10	8.92
3	9	10	9.44
3	10	0	0
3	11	0	0
3	12	10	9.33
3	13	10	9.35
3	14	0	9.59
3	15	0	9.31
3	16	0	9.18
4	1	10	9.42
4	2	10	9.46
4	3	0	0
4	4	10	9.38
4	5	10	9.22
4	6	10	1.71
4	7	10	9.35
4	8	10	9
4	9	10	9.5
4	10	0	0
4	11	0	0
4	12	10	9.42
4	13	10	9.43
4	14	0	9.58
4	15	0	9.39
4	16	0	9.15
5	1	33.3	9
5	2	0	9.5
5	3	0	0
5	4	33.3	9.4
5	5	33.3	9.33
5	6	0	1.59
5	7	0	8.83
5	8	0	9.32
5	9	0	9.1
5	10	0	0
5	11	0	0
5	12	0	9.38
5	13	0	9.4
5	14	0	9.6
5	15	0	9.57
5	16	0	9.15
