year	benchmark	value	avg
1	1	11.1	9.03
1	2	11.1	9.08
1	3	0	0.00
1	4	11.1	9.30
1	5	11.1	8.84
1	6	0	0.00
1	7	11.1	8.98
1	8	0	0.00
1	9	11.1	9.37
1	10	0	0.00
1	11	0	9.48
1	12	11.1	9.00
1	13	11.1	9.18
1	14	11.1	9.35
1	15	0	9.20
1	16	0	8.85
2	1	10	9.04
2	2	10	9.15
2	3	0	0.00
2	4	10	9.32
2	5	10	8.82
2	6	0	0.00
2	7	10	9.15
2	8	0	0.00
2	9	10	9.43
2	10	0	0.00
2	11	3.3	9.45
2	12	10	9.17
2	13	10	9.24
2	14	3.3	9.38
2	15	10	9.15
2	16	3.3	8.69
3	1	8.3	9.13
3	2	8.3	9.13
3	3	0	0.00
3	4	8.3	9.46
3	5	8.3	9.02
3	6	0	0.00
3	7	8.3	9.18
3	8	8.3	8.95
3	9	8.3	9.33
3	10	0	0.00
3	11	8.3	9.60
3	12	8.3	9.22
3	13	8.3	9.21
3	14	0	9.49
3	15	8.3	9.27
3	16	8.3	9.08
4	1	8.3	9.27
4	2	8.3	9.16
4	3	0	0.00
4	4	8.3	9.24
4	5	8.3	9.16
4	6	0	0.00
4	7	8.3	9.17
4	8	8.3	9.13
4	9	8.3	9.48
4	10	0	0.00
4	11	0	0.00
4	12	8.3	9.33
4	13	8.3	9.30
4	14	8.3	9.46
4	15	8.3	9.29
4	16	8.3	8.93
5	1	14.3	0.00
5	2	0	0.00
5	3	0	0.00
5	4	14.3	9.38
5	5	14.3	9.26
5	6	0	0.00
5	7	0	0.00
5	8	0	0.00
5	9	14.3	9.34
5	10	0	0.00
5	11	0	0.00
5	12	0	0.00
5	13	14.3	9.36
5	14	14.3	9.54
5	15	14.3	9.45
5	16	0	0.00
