year	benchmark	value	avg
1	1	8.3	9.26
1	2	8.3	9.34
1	3	0	0.00
1	4	8.3	9.52
1	5	8.3	9.12
1	6	0	0.00
1	7	8.3	9.22
1	8	8.3	9.13
1	9	8.3	9.49
1	10	0	0.00
1	11	0	0.00
1	12	8.3	9.32
1	13	8.3	9.38
1	14	8.3	9.57
1	15	8.3	9.42
1	16	8.3	9.18
2	1	8.3	9.24
2	2	8.3	9.38
2	3	0	0.00
2	4	8.3	9.50
2	5	8.3	9.14
2	6	0	0.00
2	7	8.3	9.15
2	8	8.3	8.97
2	9	8.3	9.45
2	10	0	0.00
2	11	0	0.00
2	12	8.3	9.34
2	13	8.3	9.32
2	14	8.3	9.54
2	15	8.3	9.30
2	16	8.3	9.20
3	1	8.3	9.30
3	2	8.3	9.42
3	3	0	0.00
3	4	8.3	9.48
3	5	8.3	9.12
3	6	0	0.00
3	7	8.3	9.44
3	8	8.3	8.98
3	9	8.3	9.45
3	10	0	0.00
3	11	0	0.00
3	12	8.3	9.41
3	13	8.3	9.41
3	14	8.3	9.46
3	15	8.3	9.28
3	16	8.3	9.27
4	1	14.3	9.15
4	2	14.3	9.28
4	3	0	0.00
4	4	14.3	9.45
4	5	14.3	9.29
4	6	0	0.00
4	7	0	0.00
4	8	14.3	8.81
4	9	14.3	9.32
4	10	0	0.00
4	11	0	0.00
4	12	0	0.00
4	13	14.3	9.20
4	14	0	0.00
4	15	0	0.00
4	16	0	0.00
5	1	11.1	8.98
5	2	11.1	9.12
5	3	0	0.00
5	4	11.1	9.44
5	5	11.1	9.33
5	6	0	0.00
5	7	0	0.00
5	8	11.1	8.53
5	9	11.1	9.17
5	10	0	0.00
5	11	0	0.00
5	12	0	0.00
5	13	11.1	9.08
5	14	11.1	9.68
5	15	11.1	9.63
5	16	0	0.00
