year	benchmark	value	avg
1	1	11.1	9.39
1	2	11.1	9.44
1	3	0	0.00
1	4	11.1	9.61
1	5	11.1	9.18
1	6	11.1	1.91
1	7	0	9.34
1	8	11.1	9.08
1	9	0	9.57
1	10	0	0.00
1	11	0	0.00
1	12	11.1	9.39
1	13	11.1	9.42
1	14	0	9.57
1	15	0	9.53
1	16	11.1	9.29
2	1	4.4	9.35
2	2	12.4	9.48
2	3	0	0.00
2	4	12.4	9.68
2	5	12.4	9.18
2	6	5.3	1.81
2	7	7.1	9.46
2	8	12.4	8.98
2	9	5.3	9.54
2	10	0	0.00
2	11	0	0.00
2	12	12.4	9.41
2	13	3.5	9.32
2	14	5.3	9.46
2	15	3.5	9.49
2	16	3.5	9.18
3	1	8.3	9.41
3	2	8.3	9.43
3	3	0	0.00
3	4	8.3	9.62
3	5	8.3	9.26
3	6	8.3	1.89
3	7	8.3	9.52
3	8	8.3	9.07
3	9	8.3	9.58
3	10	0	0.00
3	11	0	0.00
3	12	8.3	9.40
3	13	8.3	9.56
3	14	4.2	9.66
3	15	8.3	9.50
3	16	4.2	9.26
4	1	0	9.43
4	2	10	9.39
4	3	0	0.00
4	4	10	9.39
4	5	10	9.34
4	6	10	1.80
4	7	0	9.15
4	8	10	9.04
4	9	10	9.61
4	10	0	0.00
4	11	0	0.00
4	12	10	9.48
4	13	10	9.49
4	14	5	9.64
4	15	5	9.49
4	16	10	9.36
5	1	8.3	9.49
5	2	8.3	9.50
5	3	0	0.00
5	4	8.3	9.42
5	5	8.3	9.42
5	6	8.3	1.77
5	7	0	9.40
5	8	8.3	9.21
5	9	8.3	9.68
5	10	0	0.00
5	11	0	0.00
5	12	8.3	9.58
5	13	8.3	9.65
5	14	8.3	9.70
5	15	8.3	9.61
5	16	8.3	9.39
