year	benchmark	value	avg
1	1	8.3	9.09
1	2	8.3	9.31
1	3	0	0.00
1	4	8.3	9.36
1	5	8.3	8.80
1	6	8.3	1.84
1	7	8.3	9.08
1	8	8.3	8.77
1	9	8.3	9.12
1	10	0	0.00
1	11	0	0.00
1	12	8.3	9.26
1	13	8.3	9.09
1	14	0	9.29
1	15	8.3	9.07
1	16	8.3	8.90
2	1	5.9	9.25
2	2	5.9	9.46
2	3	0	0.00
2	4	11.8	9.32
2	5	11.8	8.81
2	6	11.8	1.73
2	7	11.8	9.26
2	8	11.8	8.69
2	9	0	9.40
2	10	0	0.00
2	11	0	0.00
2	12	11.8	9.24
2	13	11.8	9.32
2	14	0	9.41
2	15	0	9.26
2	16	5.9	9.06
3	1	12.7	9.44
3	2	10.4	9.53
3	3	0	0.00
3	4	12.7	9.56
3	5	8.2	9.10
3	6	12.7	1.84
3	7	5.2	9.36
3	8	6.7	8.99
3	9	5.2	9.39
3	10	0	0.00
3	11	0	0.00
3	12	5.2	9.57
3	13	8.2	9.38
3	14	3	9.55
3	15	7.5	9.28
3	16	2.2	9.15
4	1	9.1	9.43
4	2	0	9.53
4	3	0	0.00
4	4	9.1	9.27
4	5	9.1	9.21
4	6	9.1	1.72
4	7	9.1	9.32
4	8	9.1	9.10
4	9	0	9.51
4	10	0	0.00
4	11	0	0.00
4	12	9.1	9.59
4	13	9.1	9.45
4	14	9.1	9.53
4	15	9.1	9.29
4	16	9.1	9.05
5	1	20	9.34
5	2	0	0.00
5	3	0	0.00
5	4	20	9.34
5	5	20	9.28
5	6	0	0.00
5	7	0	0.00
5	8	0	0.00
5	9	0	0.00
5	10	0	0.00
5	11	0	0.00
5	12	0	0.00
5	13	0	0.00
5	14	20	9.48
5	15	20	9.35
5	16	0	0.00
