year	benchmark	value	avg
1	1	8.3	8.84
1	2	8.3	8.97
1	3	0	0.00
1	4	8.3	9.14
1	5	8.3	8.40
1	6	8.3	1.78
1	7	8.3	8.58
1	8	8.3	8.53
1	9	8.3	9.03
1	10	0	0.00
1	11	0	0.00
1	12	8.3	8.82
1	13	8.3	8.80
1	14	4.2	9.13
1	15	4.2	8.91
1	16	8.3	8.18
2	1	8.3	8.98
2	2	8.3	9.11
2	3	0	0.00
2	4	8.3	9.44
2	5	8.3	8.71
2	6	8.3	1.79
2	7	8.3	8.83
2	8	8.3	8.61
2	9	8.3	9.14
2	10	0	0.00
2	11	0	0.00
2	12	8.3	8.82
2	13	8.3	8.98
2	14	0	9.36
2	15	8.3	9.03
2	16	8.3	8.71
3	1	8.3	8.82
3	2	8.3	8.84
3	3	0	0.00
3	4	8.3	9.02
3	5	8.3	8.45
3	6	8.3	1.78
3	7	8.3	8.59
3	8	8.3	8.37
3	9	8.3	8.96
3	10	0	0.00
3	11	0	0.00
3	12	8.3	8.60
3	13	8.3	8.74
3	14	8.3	9.06
3	15	0	8.80
3	16	8.3	8.17
4	1	7.1	8.96
4	2	7.1	9.01
4	3	0	0.00
4	4	7.1	8.93
4	5	7.1	8.75
4	6	7.1	1.73
4	7	7.1	8.73
4	8	7.1	8.54
4	9	7.1	9.14
4	10	0	0.00
4	11	7.1	9.28
4	12	7.1	8.68
4	13	7.1	8.95
4	14	7.1	9.22
4	15	7.1	9.04
4	16	7.1	8.49
5	1	7.7	9.00
5	2	7.7	9.08
5	3	0	0.00
5	4	7.7	8.97
5	5	7.7	8.80
5	6	7.7	1.73
5	7	7.7	8.82
5	8	7.7	8.71
5	9	7.7	9.26
5	10	0	0.00
5	11	0	9.42
5	12	7.7	8.59
5	13	7.7	9.10
5	14	7.7	9.30
5	15	7.7	9.30
5	16	7.7	8.77
