year	benchmark	value	avg
1	1	9.1	9.24
1	2	9.1	9.21
1	3	0	0.00
1	4	9.1	9.50
1	5	9.1	9.03
1	6	9.1	1.87
1	7	9.1	9.27
1	8	9.1	9.01
1	9	9.1	9.41
1	10	0	0.00
1	11	0	0.00
1	12	9.1	9.14
1	13	0	9.28
1	14	0	9.38
1	15	9.1	9.29
1	16	9.1	9.13
2	1	11.1	9.20
2	2	11.1	9.37
2	3	0	0.00
2	4	11.1	9.42
2	5	11.1	9.06
2	6	11.1	1.87
2	7	11.1	9.30
2	8	11.1	9.17
2	9	11.1	9.39
2	10	0	0.00
2	11	0	0.00
2	12	11.1	9.41
2	13	0	9.34
2	14	0	9.62
2	15	0	9.26
2	16	0	9.22
3	1	8.3	9.20
3	2	8.3	9.24
3	3	0	0.00
3	4	8.3	9.46
3	5	8.3	8.97
3	6	8.3	1.92
3	7	8.3	9.27
3	8	8.3	8.99
3	9	8.3	9.35
3	10	0	0.00
3	11	0	0.00
3	12	8.3	9.31
3	13	8.3	9.31
3	14	0	9.46
3	15	8.3	9.04
3	16	8.3	9.14
4	1	7.7	9.33
4	2	7.7	9.28
4	3	0	0.00
4	4	7.7	9.32
4	5	7.7	9.28
4	6	7.7	1.83
4	7	7.7	9.37
4	8	7.7	9.17
4	9	7.7	9.55
4	10	0	0.00
4	11	0	0.00
4	12	7.7	9.46
4	13	7.7	9.36
4	14	7.7	9.43
4	15	7.7	9.39
4	16	7.7	9.25
5	1	7.7	9.25
5	2	7.7	9.22
5	3	0	0.00
5	4	7.7	9.21
5	5	7.7	9.16
5	6	7.7	1.82
5	7	7.7	9.26
5	8	7.7	9.13
5	9	7.7	9.46
5	10	0	0.00
5	11	0	0.00
5	12	7.7	9.37
5	13	7.7	9.39
5	14	7.7	9.59
5	15	7.7	9.42
5	16	7.7	9.23
