year	benchmark	value	avg
1	1	9.1	9.23
1	2	9.1	9.24
1	3	0	0.00
1	4	9.1	9.42
1	5	9.1	9.06
1	6	9.1	1.84
1	7	9.1	9.35
1	8	9.1	8.89
1	9	9.1	9.42
1	10	0	0.00
1	11	0	0.00
1	12	9.1	9.17
1	13	9.1	9.33
1	14	0	9.38
1	15	9.1	9.17
1	16	0	8.91
2	1	8.3	9.21
2	2	11.1	9.27
2	3	0	0.00
2	4	11.1	9.37
2	5	11.1	9.01
2	6	2.8	1.86
2	7	11.1	9.22
2	8	8.3	8.83
2	9	11.1	9.30
2	10	0	0.00
2	11	0	0.00
2	12	8.3	9.26
2	13	5.6	9.32
2	14	0	9.45
2	15	11.1	9.34
2	16	0	9.16
3	1	0	9.32
3	2	10	9.39
3	3	0	0.00
3	4	10	9.49
3	5	10	9.12
3	6	10	1.80
3	7	10	9.40
3	8	10	8.95
3	9	3.3	9.44
3	10	0	0.00
3	11	0	0.00
3	12	3.3	9.27
3	13	3.3	9.41
3	14	10	9.46
3	15	10	9.29
3	16	10	8.95
4	1	8.3	9.42
4	2	8.3	9.52
4	3	0	0.00
4	4	8.3	9.38
4	5	8.3	9.35
4	6	8.3	1.80
4	7	8.3	9.43
4	8	8.3	9.17
4	9	0	9.57
4	10	0	0.00
4	11	8.3	9.65
4	12	8.3	9.47
4	13	8.3	9.52
4	14	8.3	9.65
4	15	8.3	9.51
4	16	0	9.28
5	1	9.1	9.41
5	2	9.1	9.49
5	3	0	0.00
5	4	9.1	9.46
5	5	9.1	9.32
5	6	0	0.00
5	7	9.1	9.33
5	8	9.1	9.12
5	9	9.1	9.58
5	10	0	0.00
5	11	0	9.58
5	12	0	9.15
5	13	9.1	9.49
5	14	9.1	9.64
5	15	9.1	9.47
5	16	9.1	9.44
