year	benchmark	value	avg
1	1	10	9.10
1	2	10	9.15
1	3	0	0.00
1	4	10	9.48
1	5	10	8.97
1	6	10	1.84
1	7	3.3	9.10
1	8	10	8.90
1	9	3.3	9.41
1	10	0	0.00
1	11	0	0.00
1	12	10	8.88
1	13	3.3	9.21
1	14	0	9.26
1	15	10	9.09
1	16	10	8.48
2	1	11.1	9.09
2	2	3.2	9.14
2	3	0	0.00
2	4	11.1	9.46
2	5	11.1	8.86
2	6	11.1	1.89
2	7	3.2	8.98
2	8	7.9	8.86
2	9	4.8	9.38
2	10	0	0.00
2	11	0	0.00
2	12	6.3	8.93
2	13	11.1	9.22
2	14	7.9	9.26
2	15	4.8	9.11
2	16	6.3	8.59
3	1	5.3	9.21
3	2	5.3	9.26
3	3	0	0.00
3	4	11.4	9.49
3	5	11.4	8.91
3	6	11.4	1.89
3	7	7.6	8.94
3	8	5.3	8.88
3	9	6.8	9.40
3	10	0	0.00
3	11	0	0.00
3	12	7.6	9.24
3	13	4.5	9.22
3	14	0.8	9.40
3	15	11.4	9.14
3	16	11.4	8.83
4	1	9.1	9.37
4	2	9.1	9.32
4	3	0	0.00
4	4	9.1	9.32
4	5	9.1	9.10
4	6	9.1	1.76
4	7	9.1	9.32
4	8	9.1	9.03
4	9	9.1	9.52
4	10	0	0.00
4	11	0	0.00
4	12	9.1	9.39
4	13	9.1	9.40
4	14	0	9.39
4	15	0	9.34
4	16	9.1	8.88
5	1	10	9.42
5	2	10	9.42
5	3	0	0.00
5	4	10	9.45
5	5	10	9.39
5	6	10	1.82
5	7	10	9.45
5	8	10	9.13
5	9	10	9.58
5	10	0	0.00
5	11	0	0.00
5	12	0	9.42
5	13	0	9.60
5	14	10	9.54
5	15	10	9.50
5	16	0	9.26
