year	benchmark	value	avg
1	1	8.3	9.23
1	2	8.3	9.44
1	3	0	0.00
1	4	8.3	9.45
1	5	8.3	9.00
1	6	8.3	1.81
1	7	8.3	9.16
1	8	8.3	9.04
1	9	8.3	9.32
1	10	0	0.00
1	11	4.2	9.53
1	12	8.3	9.24
1	13	8.3	9.19
1	14	0	9.40
1	15	8.3	9.15
1	16	4.2	9.20
2	1	7.1	9.16
2	2	7.1	9.37
2	3	0	0.00
2	4	7.1	9.42
2	5	7.1	9.01
2	6	7.1	1.86
2	7	7.1	9.12
2	8	7.1	8.91
2	9	7.1	9.27
2	10	0	0.00
2	11	7.1	9.46
2	12	7.1	9.32
2	13	7.1	9.15
2	14	7.1	9.31
2	15	7.1	9.14
2	16	7.1	9.22
3	1	7.1	9.29
3	2	7.1	9.38
3	3	0	0.00
3	4	7.1	9.48
3	5	7.1	9.07
3	6	7.1	1.87
3	7	7.1	9.39
3	8	7.1	9.18
3	9	7.1	9.42
3	10	0	0.00
3	11	7.1	9.47
3	12	7.1	9.39
3	13	7.1	9.39
3	14	7.1	9.38
3	15	7.1	9.12
3	16	7.1	9.13
4	1	10	9.30
4	2	10	9.37
4	3	0	0.00
4	4	10	9.26
4	5	10	9.19
4	6	0	1.67
4	7	0	9.89
4	8	10	9.22
4	9	10	9.52
4	10	0	0.00
4	11	10	9.53
4	12	0	9.27
4	13	10	9.03
4	14	0	8.95
4	15	10	9.27
4	16	10	9.21
5	1	9.1	9.37
5	2	9.1	9.39
5	3	0	0.00
5	4	9.1	9.31
5	5	9.1	9.32
5	6	0	0.00
5	7	0	0.00
5	8	9.1	9.34
5	9	9.1	9.50
5	10	0	0.00
5	11	9.1	9.58
5	12	0	0.00
5	13	9.1	9.26
5	14	9.1	9.49
5	15	9.1	9.32
5	16	9.1	9.28
