year	benchmark	value	avg
1	1	10	9.22
1	2	10	9.47
1	3	0	0.00
1	4	10	9.53
1	5	10	8.95
1	6	10	1.85
1	7	10	9.20
1	8	10	9.10
1	9	10	9.39
1	10	0	0.00
1	11	0	9.43
1	12	10	9.12
1	13	10	9.22
1	14	0	9.46
1	15	0	9.20
1	16	0	9.04
2	1	11	9.24
2	2	7.3	9.43
2	3	0	0.00
2	4	11	9.48
2	5	11	9.10
2	6	11	1.81
2	7	7.3	9.27
2	8	11	9.03
2	9	2.8	9.44
2	10	0	0.00
2	11	1.8	9.34
2	12	11	9.20
2	13	6.4	9.21
2	14	0.9	9.44
2	15	3.7	9.17
2	16	3.7	8.96
3	1	7.7	9.25
3	2	7.7	9.38
3	3	0	0.00
3	4	7.7	9.52
3	5	7.7	9.04
3	6	7.7	1.87
3	7	7.7	9.22
3	8	7.7	9.00
3	9	7.7	9.43
3	10	0	0.00
3	11	7.7	9.49
3	12	7.7	9.20
3	13	7.7	9.29
3	14	7.7	9.45
3	15	0	9.22
3	16	7.7	9.13
4	1	9.1	9.36
4	2	9.1	9.40
4	3	0	0.00
4	4	9.1	9.31
4	5	9.1	9.27
4	6	9.1	1.84
4	7	9.1	9.31
4	8	9.1	9.16
4	9	0	9.60
4	10	0	0.00
4	11	9.1	9.42
4	12	0	9.37
4	13	9.1	9.46
4	14	9.1	9.50
4	15	0	9.47
4	16	9.1	9.26
5	1	8.3	9.38
5	2	8.3	9.47
5	3	0	0.00
5	4	8.3	9.40
5	5	8.3	9.37
5	6	8.3	1.79
5	7	8.3	9.22
5	8	8.3	9.35
5	9	0	0.00
5	10	0	0.00
5	11	8.3	9.60
5	12	0	0.00
5	13	8.3	9.35
5	14	8.3	9.64
5	15	8.3	9.50
5	16	8.3	9.46
