year	benchmark	value	avg
1	1	0	0.00
1	2	0	0.00
1	3	0	0.00
1	4	0	0.00
1	5	0	0.00
1	6	0	0.00
1	7	0	0.00
1	8	0	0.00
1	9	0	0.00
1	10	0	0.00
1	11	0	0.00
1	12	0	0.00
1	13	0	0.00
1	14	0	0.00
1	15	0	0.00
1	16	0	0.00
2	1	0	0.00
2	2	0	0.00
2	3	0	0.00
2	4	0	0.00
2	5	0	0.00
2	6	0	0.00
2	7	0	0.00
2	8	0	0.00
2	9	0	0.00
2	10	0	0.00
2	11	0	0.00
2	12	0	0.00
2	13	0	0.00
2	14	0	0.00
2	15	0	0.00
2	16	0	0.00
3	1	12.5	9.30
3	2	12.5	9.12
3	3	0	0.00
3	4	0	9.58
3	5	12.5	9.25
3	6	12.5	1.90
3	7	0	9.31
3	8	0	9.03
3	9	0	9.52
3	10	0	0.00
3	11	0	0.00
3	12	12.5	9.28
3	13	0	9.36
3	14	12.5	9.60
3	15	12.5	9.35
3	16	12.5	9.07
4	1	11.1	9.23
4	2	11.1	9.08
4	3	0	0.00
4	4	11.1	9.17
4	5	11.1	9.16
4	6	0	1.67
4	7	11.1	8.69
4	8	5.6	8.58
4	9	11.1	9.48
4	10	0	0.00
4	11	0	0.00
4	12	0	9.80
4	13	5.6	8.95
4	14	11.1	9.54
4	15	0	8.67
4	16	11.1	9.20
5	1	16.7	8.99
5	2	0	9.00
5	3	0	0.00
5	4	16.7	9.31
5	5	16.7	9.32
5	6	0	0.00
5	7	5.6	8.94
5	8	0	9.00
5	9	5.6	9.53
5	10	0	0.00
5	11	0	0.00
5	12	0	0.00
5	13	5.6	9.00
5	14	16.7	9.59
5	15	16.7	9.64
5	16	0	9.63
